Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders
Tava Health,https://www.crunchbase.com/organization/tava-health,"Health Care, Software","Salt Lake City, Utah, United States","Tava Health aims to improve emotional health through frictionless, technology-enabled care.",3000000,USD,3000000,Seed,"5,269",1,https://www.linkedin.com/company/tava-health/,https://www.tavahealth.com/,"Dallen Allred, Jason Ockey, Spencer Gardner"
Vivun Inc,https://www.crunchbase.com/organization/vivun-inc,"Artificial Intelligence, B2B, CRM, Enterprise Software, Information Technology, Internet, Machine Learning, SaaS, Software","Oakland, California, United States","Vivun has created the world's first software for presales, designed to transform how B2B technology companies go to market.",3000000,USD,3000000,Seed,"8,994",1,https://www.linkedin.com/company/vivun/,https://www.vivun.com,"Claire Bruce, Dominique Darrow, John Bruce, Joseph Miller, Matthew Darrow"
TrueNorth,https://www.crunchbase.com/organization/truenorth,"Logistics, Software, Transportation","San Francisco, California, United States","TrueNorth offers software that helps truckers manage insurance, fuel, and maintenance.",3000000,USD,3000000,Seed,"9,027",3,https://www.linkedin.com/company/honestfreight/,https://www.truenorthfleet.com/,"Jin Stedge, Sanjaya Wijeratne"
Kaizo,https://www.crunchbase.com/organization/kaizo,"Artificial Intelligence, Customer Service, Gamification, Machine Learning, SaaS","Amsterdam, Noord-Holland, The Netherlands",Kaizo is a developer of performance development software using gamification and AI boosting customer support team productivity,3000000,USD,3000000,Seed,"9,259",1,https://www.linkedin.com/company/kaizohq/,https://kaizo.com,"Christoph Auer-Welsbach, Dominik Blattner"
Mutiny,https://www.crunchbase.com/organization/mutinyhq,"B2B, Marketing, Personalization, SaaS","San Francisco, California, United States","Mutiny helps you turn your website into your #1 sales channel, by personalizing your website for each visitor without any engineering work.",3000000,USD,3000000,Seed,"9,448",3,https://www.linkedin.com/company/mutinyhq/,https://www.mutinyhq.com/,"Jaleh Rezaei, Nikhil Mathew"
neptune.ai,https://www.crunchbase.com/organization/neptune-ml,"Analytics, Artificial Intelligence, Information Technology, Internet, Software","Warsaw, Mazowieckie, Poland",The most lightweight experiment management tool that fits any workflow.,3000000,USD,3000000,Series A,"10,753",2,https://www.linkedin.com/company/neptuneml/,https://neptune.ai/,Piotr Niedzwiedz
Sleuth,https://www.crunchbase.com/organization/sleuth-c94e,"Collaboration, Developer Tools, Software","San Francisco, California, United States",Sleuth is a deployment tracker built to solve the confusion that comes when companies have adopted continuous delivery.,3000000,USD,3000000,Seed,"11,773",1,https://www.linkedin.com/company/sleuth-io/about/,https://www.sleuth.io/,"Don Brown, Dylan Etkin, Michael Knighten"
AllVoices,https://www.crunchbase.com/organization/allvoices-6415,"Analytics, B2B, Human Resources, Information Technology, Small and Medium Businesses, Software","Santa Monica, California, United States","AllVoices is an anonymous reporting tool that enables anyone to report harassment, bias, & culture issues directly to company leadership. ",3000000,USD,3000000,Seed,"11,845",3,https://linkedin.com/company/allvoicesco,http://www.allvoices.co,Claire Schmidt
Genus AI,https://www.crunchbase.com/organization/genus-artificial-intelligence,"Artificial Intelligence, B2B, Machine Learning, Predictive Analytics, SaaS","San Francisco, California, United States",The world's first no-coding Customer Modeling Platform for Emotional Intelligence,3000000,USD,3000000,Seed,"13,011",2,https://www.linkedin.com/company/genus-ai/,https://genus.ai,Tadas Jucikas
Zettabytes,https://www.crunchbase.com/organization/zettabytes,"Cloud Infrastructure, Enterprise Software, Software","San Jose, California, United States",Zettabytes is a stealth-mode startup in cloud-native computing.,3000000,USD,3000000,Seed,"13,600",1,https://www.linkedin.com/company/zettabytes,http://zb.io/,"Rishi Yadav, Sudhir Jangir"
Triggermesh,https://www.crunchbase.com/organization/triggermesh,"Event Management, Events, Information Technology, Software","Cary, North Carolina, United States",Triggermesh develops a serverless management platform for managing functions and event triggers,3000000,USD,3000000,Seed,"14,386",1,https://www.linkedin.com/company/triggermesh/,http://www.triggermesh.com,"Mark Hinkle, Sebastien Goasguen"
LinearB,https://www.crunchbase.com/organization/linear-b,"Information Technology, Machine Learning, Software","Los Angeles, California, United States",LinearB is analytics & automation for software development teams,3000000,USD,3000000,Seed,"15,321",2,https://www.linkedin.com/company/linearb/,https://linearb.io,"Dan Lines, Ori Keren"
Mobot,https://www.crunchbase.com/organization/team-mobot,"Mobile Apps, Robotics, Software","New York, New York, United States",Mobot is an on demand testing platform - powered by computer vision and robots - for mobile apps on actual devices.,3000000,USD,3000000,Seed,"18,086",3,https://www.linkedin.com/company/team-mobot/,https://www.teammobot.com/,Eden Full Goh
Camus Energy,https://www.crunchbase.com/organization/camus-energy,Software,"San Francisco, California, United States",Open source software services for distributed energy and the renewable transition,3000000,USD,3000000,Seed,"23,038",1,https://www.linkedin.com/company/camus/,https://camus.energy/,
Smartwyre,https://www.crunchbase.com/organization/smartwyre,"AgTech, SaaS, Software","Denver, Colorado, United States","Smarter Software, for a Smarter Ag Supply Industry",3000000,USD,3000000,Seed,"23,315",1,https://www.linkedin.com/company/smartwyre/,https://www.smartwyre.com,John Brubaker
Celera,https://www.crunchbase.com/organization/celera-4701,"Artificial Intelligence, Machine Learning, Semiconductor, Software","San Jose, California, United States",Harnessing the Power of Artificial Intelligence to Crush the Barriers to Realizing Custom Silicon,3000000,USD,3000000,Seed,"25,054",1,https://www.linkedin.com/company/19107152/admin/,https://www.celeratechnologies.com,Abid Hussain
Second State,https://www.crunchbase.com/organization/second-state,"Blockchain, Information Technology, Open Source, Software","Austin, Texas, United States","Second State builds WebAssembly execution engines, frameworks, and developer toolchain for the cloud.",3000000,USD,3000000,Series A,"25,744",1,https://www.linkedin.com/company/second-state/,https://www.secondstate.io/,Michael Yuan
Optherium,https://www.crunchbase.com/organization/optherium,"Banking, Blockchain, Enterprise Software, Financial Services, FinTech, IT Infrastructure","Zug, Zug, Switzerland",Global fintech company and a blockchain-as-a-service provider,3000000,USD,3000000,Seed,"30,287",1,https://linkedin.com/company/optherium,https://optherium.io/,Serge Beck
BCN3D,https://www.crunchbase.com/organization/bcn3d-technologies,"Consumer Electronics, Information Technology, Manufacturing, Software","Castelldefels, Catalonia, Spain",BCN3D Technologies designs and manufactures in Barcelona high-quality 3D printers for professionals,3000000,USD,3000000,Seed,"35,984",1,https://www.linkedin.com/company/bcn3d-technologies/?originalSubdomain=es,https://www.bcn3dtechnologies.com,"Marc Felis Llena, Pol Domenech, Xavier Martínez Faneca"
SignOnTheGo,https://www.crunchbase.com/organization/signonthego,"E-Commerce, E-Signature, Information Technology, Internet, Software","Boca Raton, Florida, United States","SignOnTheGo, blockchain-based e-signature platform designed users to edit, sign, and send official e-documents.",3000000,USD,3000000,Seed,"45,355",1,https://www.linkedin.com/company/signonthego/,https://www.signonthego.us/,Ray Sylvain
Parallel Domain,https://www.crunchbase.com/organization/parallel-domain,"3D Technology, Autonomous Vehicles, Simulation, Software","Palo Alto, California, United States",Parallel Domain provides 3D environment generation software for autonomous vehicle simulation.,2940000,USD,2940000,Seed,"18,673",1,https://www.linkedin.com/company/parallel-domain/,https://www.paralleldomain.com,Kevin McNamara
Breedr,https://www.crunchbase.com/organization/breedr,"Agriculture, SaaS, Supply Chain Management","Itchenor, West Sussex, United Kingdom",Breedr is a productivity and marketing platform that’s transforming the livestock supply-chain.,2200000,GBP,2916537,Seed,"74,025",3,https://www.linkedin.com/company/breedr,https://www.breedr.co,Ian Wheal
9th Gear,https://www.crunchbase.com/organization/9th-gear-technologies,"Banking, Financial Services, FinTech, Software","Palo Alto, California, United States",9th Gear offers an innovative engine powering foreign exchange (FX) trades with intraday credit and the benefits of same day settlement.,2903080,USD,2903080,Seed,"27,062",1,https://www.linkedin.com/company/9thgeartech,https://www.9thGear.com,Maryanne Morrow
Banked,https://www.crunchbase.com/organization/banked,"Banking, FinTech, Payments, Software","London, England, United Kingdom",Banked provides an account-to-account payment software platform.,2350000,GBP,2896282,Seed,"6,139",2,https://www.linkedin.com/company/banked-limited/,https://banked.com/,"Brad Goodall, Ellen Fernandes, Neil Ambler, Patrick Cox"
Kind,https://www.crunchbase.com/organization/thekindapp,"Enterprise Software, Health Care, Lifestyle, Medical, Software, Wellness","Malmö, Skane Lan, Sweden","Kind is modern and safe technology applied to healthcare – send messages, share knowledge and prepare clients efficiently.",2500000,EUR,2824172,Seed,"18,198",3,https://www.linkedin.com/company/thekind-app/,https://www.kind.app/en/home,"Annica Belfrage, Charlotta Tönsgård"
Rebank,https://www.crunchbase.com/organization/rebank,"Financial Services, FinTech, Software","London, England, United Kingdom",The best banking experience for high-growth startups,2818000,USD,2818000,Seed,"13,224",1,https://www.linkedin.com/company/rebanktechnologies/,https://rebanknow.com,"Juan Andrade, Simon White"
Dover,https://www.crunchbase.com/organization/dover-37be,"Consulting, Recruiting, Software","San Francisco, California, United States",Dover finds and engages the best candidates for your team.,2800000,USD,2800000,Seed,"12,204",3,https://www.linkedin.com/company/doverhq,https://dover.io,"Anvisha Pai, George Carollo, Max Kolysh"
SkySelect,https://www.crunchbase.com/organization/skyselect,"Aerospace, Air Transportation, Enterprise Software, Marketplace, SaaS, Software, Supply Chain Management","San Francisco, California, United States",Innovative online marketplace and software collaboration solution built for Aviation materials sourcing and procurement.,2800000,USD,2800000,Seed,"17,862",2,https://www.linkedin.com/company/skyselect/,https://www.skyselect.com,"Erkki Brakmann, Rain Opik, Soufiane Houri, Tulika Dayal"
Qumulex,https://www.crunchbase.com/organization/qumulex,"Cloud Data Services, Information Technology, Internet of Things, Physical Security, Robotics, Security, Software, Video","Fishers, Indiana, United States",Qumulex is a Cloud and IoT-based video surveillance and access control needs in the commercial segment.,2775000,USD,2775000,Seed,"35,606",1,https://www.linkedin.com/company/qumulex/,https://www.qumulex.com,Tom Buckley
nextmv,https://www.crunchbase.com/organization/nextmv,"Developer Platform, Software","Philadelphia, Pennsylvania, United States",nextmv is an end to end decision automation platform that provides developers with the building blocks to create and test models,2770000,USD,2770000,Seed,"13,015",2,https://www.linkedin.com/company/nextmv,https://nextmv.io/,"Carolyn Mooney, Ryan O'Neil"
Quolum,https://www.crunchbase.com/organization/quolum,"Computer, Software","Pleasanton, California, United States",Quolum is a building industry’s first platform,2750000,USD,2750000,Seed,"2,277",2,https://www.linkedin.com/company/quolum,https://quolum.com/,Indus Khaitan
Hone,https://www.crunchbase.com/organization/honehq,"Corporate Training, Education, Fitness, Internet, SaaS, Software, Sports","San Francisco, California, United States",Hone is a next-generation platform for live online leadership and management training.,2750000,USD,2750000,Seed,"16,031",2,https://www.linkedin.com/company/honehq/,https://www.honehq.com/,"Jeremy Hamel, Savina Perez, Tom Griffiths"
Emotive,https://www.crunchbase.com/organization/emotive-6026,"B2B, B2C, Marketing Automation, Natural Language Processing, SaaS","Los Angeles, California, United States",Emotive is a mobile messaging platform that scales emotionally intelligent relationships for B2C businesses.,2700000,USD,2700000,Seed,"3,914",1,https://www.linkedin.com/company/emotiveio,https://emotive.io/,"Brian Zatulove, Zach Wise"
CROQUET Corporation,https://www.crunchbase.com/organization/croquet-corporation,Software,"Los Angeles, California, United States","Croquet Corporation is a transformational platform for the development of Live Collaboration apps and games, optimized for AR and 5G.",2700000,USD,2700000,Seed,"28,102",1,https://www.linkedin.com/company/croquet-corporation/,https://croquet.io,David Smith
Fuzzbuzz,https://www.crunchbase.com/organization/fuzzbuzz,"Developer Tools, Information Technology, Internet, SaaS","Redwood City, California, United States",Fuzzbuzz protects various software from digital hacks or attacks.,2700000,USD,2700000,Seed,"63,492",3,https://www.linkedin.com/company/fuzzbuzz/,https://www.fuzzbuzz.io/,"Andrei Serban, Everest Munro-Zeisberger, Sabera Hussain"
DeepSource,https://www.crunchbase.com/organization/deepsource,"Developer APIs, Developer Tools, Enterprise Software, Internet, Software","San Francisco, California, United States",Automated code review tool that helps developers find and fix bugs in their code.,2600000,USD,2600000,Seed,"2,289",2,https://www.linkedin.com/company/deepsourcelabs/,https://deepsource.io,"Jai Pradeesh, Sanket Saurav"
Base,https://www.crunchbase.com/organization/base-93d3,"Productivity Tools, SaaS, Software, Virtual Assistant","Greenville, South Carolina, United States",Base is the first-ever software platform built specifically for executive assistants.,2600000,USD,2600000,Seed,"12,915",1,https://www.linkedin.com/company/18679671/admin/,https://basehq.com/,Paige McPheely
Joyous,https://www.crunchbase.com/organization/joyous-7738,"Human Resources, SaaS, Software","Auckland, Auckland, New Zealand",Joyous Open Feedback offers makes everyone feel comfortable giving and receiving enterprise feedback that sparks action.,4000000,NZD,2558400,Seed,"24,328",1,https://www.linkedin.com/company/joyous/,https://www.joyoushq.com,Michael Carden
Insurami,https://www.crunchbase.com/organization/insurami,"Finance, Insurance, InsurTech, Real Estate, Software, Software Engineering","London, England, United Kingdom",Insurami offers a deposit guarantee platform for commercial real estate,2000000,GBP,2533791,Seed,"24,035",1,https://www.linkedin.com/company/insurami/,https://www.insurami.com/,"Arnor Davidsson, Majed Chaaraoui"
Emesent,https://www.crunchbase.com/organization/emesent,"Aerospace, Artificial Intelligence, Drones, Information Technology, Mapping Services, Software","Pullen Vale, Queensland, Australia",Emesent is automating the collection and analysis of valuable data in underground environments.,3500000,AUD,2524103,Seed,"26,216",1,https://www.linkedin.com/company/emesent/,http://www.emesent.io/,"Farid Kendoul, Stefan Hrabar"
ElectroNeek,https://www.crunchbase.com/organization/electroneek,"Assistive Technology, Computer, Data Center Automation, Electronic Design Automation (EDA), Enterprise Software, Human Resources, Industrial Automation, Information Services, Information Technology, Robotics","San Francisco, California, United States",ElectroNeek serves as a robotic process automation platform for creating digital workforce and personal assistants.,2500000,USD,2500000,Seed,"6,564",8,https://www.linkedin.com/company/electroneek/,http://www.electroneek.com/,"Dmitry Karpov, Mike Rozhin, Sergey Yudovskiy"
AiSight,https://www.crunchbase.com/organization/aisight,"Artificial Intelligence, Hardware, Machine Learning, Manufacturing, Sensor, Software","Berlin, Berlin, Germany",Automating machine diagnostics for manufacturing,2500000,USD,2500000,Seed,"9,941",3,https://www.linkedin.com/company/aisight/,https://aisight.de,"Matthias Auf der Mauer, Maximilian von Duering"
Sprout.ai,https://www.crunchbase.com/organization/blockclaim,"Artificial Intelligence, Blockchain, Image Recognition, Insurance, InsurTech, Natural Language Processing, Software","London, England, United Kingdom",AI powered claims automation and fraud detection,2500000,USD,2500000,Seed,"10,663",4,https://www.linkedin.com/company/18836992,https://www.sprout.ai,Raphael Guth
VComply,https://www.crunchbase.com/organization/vcomply,"Compliance, Enterprise Software, Information Technology, Risk Management, SaaS, Software","San Jose, California, United States","VComply is a governance, risk, and compliance management solution provider.",2500000,USD,2500000,Seed,"10,891",1,https://www.linkedin.com/company/v-comply/,https://www.v-comply.com/,Harshvardhan Kariwala
Doppler,https://www.crunchbase.com/organization/doppler,Software,"San Francisco, California, United States","Your central source of truth from local development to production for every language, stack, and infrastructure.",2500000,USD,2500000,Seed,"12,393",1,https://www.linkedin.com/company/dopplerhq,https://doppler.com,"Brian Vallelunga, Phillip Chao"
Avvir,https://www.crunchbase.com/organization/avvir,"Information Technology, Real Estate, Robotics, Software","New York, New York, United States",System of Reality for Buildings,2500000,USD,2500000,Seed,"13,806",3,https://www.linkedin.com/company/avvir/,http://Avvir.io,Raffi Holzer
Casted,https://www.crunchbase.com/organization/casted,"B2B, Information Technology, Podcast, Software","Indianapolis, Indiana, United States",Casted is the first platform for B2B podcasting that helps B2B Podcasters and Content Marketers be more effective.,2500000,USD,2500000,Seed,"16,030",1,https://www.linkedin.com/company/gocasted/,https://casted.us/,"Adam Patarino, Lindsay Tjepkema, Zachary Ballenger"
Memfault,https://www.crunchbase.com/organization/memfault,"Electronics, Information Services, Information Technology, Internet, Software","San Francisco, California, United States","Memfault provides solutions for firmware delivery, monitoring, and diagnostics to consumer electronics businesses.",2500000,USD,2500000,Seed,"16,343",2,https://www.linkedin.com/company/memfault/,https://memfault.com/,Christopher Coleman
Banzai Cloud,https://www.crunchbase.com/organization/banzai-cloud,"Information Technology, Software","Budapest, Budapest, Hungary",Bringing Cloud Native to the Enterprise,2500000,USD,2500000,Seed,"18,890",1,https://www.linkedin.com/company/27129691/,https://banzaicloud.com/,Janos Matyas
Donna,https://www.crunchbase.com/organization/donna,"Artificial Intelligence, Consulting, Software","Malmö, Skane Lan, Sweden",AI-Powered legal drafting tool for lawyers.  ,2500000,USD,2500000,Seed,"21,739",1,https://www.linkedin.com/company/18383574/,https://donna.legal,
Shift5,https://www.crunchbase.com/organization/shift5,"Cyber Security, Hardware, Information Technology, Software","Arlington, Virginia, United States","Intrusion detection, intrusion prevention, alerting and incident response for operational technology (OT) platforms",2500000,USD,2500000,Seed,"23,688",1,https://www.linkedin.com/company/shift5/about/,https://shift5.io/,Josh Lospinoso
Dandy,https://www.crunchbase.com/organization/dandy-c740,"Apps, Dating, Social, Software","Los Angeles, California, United States",Dandy is a live dating app that builts to solve the problem of immense time and effort required by existing online dating experiences.,2500000,USD,2500000,Seed,"24,661",2,https://www.linkedin.com/company/dandylive,http://dandylive.com,"Daniel Newman, Leor Massachi"
StayTuned Digital,https://www.crunchbase.com/organization/staytuned-digital,"Messaging, Software","New York, New York, United States",StayTuned facilitates customer conversations using transactional notifications.,2500000,USD,2500000,Seed,"81,223",2,https://www.linkedin.com/company/staytuneddigital/about/,http://www.staytuned.digital,"Randy Jimenez, Serge Kassardjian"
Beatdapp,https://www.crunchbase.com/organization/beatdapp,"Blockchain, Enterprise Software, Mobile Apps, Music, Music Label, Music Streaming, Real Time","Vancouver, British Columbia, Canada","Beatdapp offers a tracking system that authenticates, verifies, and validates media streamed in real time.",3200000,CAD,2419299,Seed,"1,083",2,https://www.linkedin.com/company/beatdapp/,https://beatdapp.com/,"Andrew Batey, Morgan Hayduk, Pouria Assadipour"
Spiral,https://www.crunchbase.com/organization/spiral-technologies,"Artificial Intelligence, B2B, Customer Service, Machine Learning, SaaS, Software","Seattle, Washington, United States",Spiral is a software company which is focused on building solutions for scanning customer feedback using AI.,2400000,USD,2400000,Seed,"9,863",3,https://www.linkedin.com/company/usespiral/,https://www.spiralup.co,"Andrew DiLosa, Elena Zhizhimontova"
Moov,https://www.crunchbase.com/organization/moov-technologies-inc,"B2B, Information Technology, Software","San Francisco, California, United States",Moov is a software platform for buying and selling preowned manufacturing equipment.,2400000,USD,2400000,Seed,"10,325",2,https://www.linkedin.com/company/moov-technologies-inc,https://www.moov.co,"Maxam Yeung, Steven Zhou"
Mosaic.tech,https://www.crunchbase.com/organization/mosaic-tech,"Analytics, Artificial Intelligence, B2B, Big Data, Machine Learning, SaaS","San Diego, California, United States","Mosaic.tech provides predictive reporting capabilities, leveling the playing field, and giving startups insights for large enterprises.",2400000,USD,2400000,Seed,"13,812",1,https://www.linkedin.com/company/mosaictech/,https://mosaic.tech,"Bijan Moallemi, Brian Campbell, Joe Garafalo"
Roshi,https://www.crunchbase.com/organization/roshi-solutions-inc,"Cannabis, Enterprise Software, Information Technology, Logistics, SaaS, Software, Supply Chain Management","Oakland, California, United States",Roshi is a software company that offers purpose-built inventory management solution for cannabis operators.,2400000,USD,2400000,Seed,"15,161",1,https://www.linkedin.com/company/roshi-solutions/,https://www.roshi.me,"Celia Carter, Heidi Hudson, Jason West"
Key Data Dashboard,https://www.crunchbase.com/organization/key-data-dashboard,"Leisure, Software, Travel","Santa Rosa Beach, Florida, United States",Key Data Dashboard is a provider of data and analytic tools for the vacation rental space.,2400000,USD,2400000,Series A,"37,564",1,https://www.linkedin.com/company/key-data-dashboard/,https://www.keydatadashboard.com/,Amy Hinote
Okarito,https://www.crunchbase.com/organization/okarito,"Accounting, Business Travel, Human Resources, Software, Travel","Paris, Ile-de-France, France",Travel management platform for SMBs,2100000,EUR,2357373,Seed,"7,795",1,https://www.linkedin.com/company/okarito/,https://www.okarito.io,
Oliver POS,https://www.crunchbase.com/organization/oliver-pos,"E-Commerce, Information Technology, Software","St. John's, Newfoundland, Canada",Point of Sale Software,3200000,CAD,2357000,Seed,"17,010",1,https://www.linkedin.com/company/getoliverpos,https://oliverpos.com/,
Zenaton,https://www.crunchbase.com/organization/zenaton,"Developer Tools, Internet, SaaS, Software","Paris, Ile-de-France, France",Zenaton provides a SaaS technology to orchestrate your background tasks and create world-class business processes.,2350000,USD,2350000,Seed,"17,581",1,https://www.linkedin.com/company/zenaton/,https://zenaton.com,"Gilles Barbier, Louis Cibot"
Teston,https://www.crunchbase.com/organization/teston,"Internet, Software","Oslo, Oslo, Norway",Teston helps you make better and informed decisions by knowing how the users in your audience experience your product or service.,2000000,EUR,2338396,Seed,"21,826",2,https://www.linkedin.com/company/teston/,https://teston.io/,"Chris Moen, Erik Hauglid, Franz Wilhelm von der Lippe, Vegard Solberg"
MainStreet,https://www.crunchbase.com/organization/mainstreet-08ea,"Enterprise Software, Financial Services, FinTech, Government, GovTech, Internet, Search Engine, Small and Medium Businesses","San Jose, California, United States",MainStreet is fixing the $300B government incentives market.,2300000,USD,2300000,Seed,"1,200",2,https://www.linkedin.com/company/workonmainstreet/,http://workonmainstreet.com,"Dan Lindquist, Daniel Griffin, Doug Ludlow"
QuestDB,https://www.crunchbase.com/organization/quest-db,"Analytics, Big Data, Database, Information Technology, Internet of Things, Open Source, Software","London, England, United Kingdom","QuestDB is an open source SQL database to process time-series data, faster.",2300000,USD,2300000,Seed,"1,309",1,https://www.linkedin.com/company/questdb/,https://www.questdb.io,"Nicolas Hourcard, Tancrede Collard, Vlad Ilyushchenko"
Yogi,https://www.crunchbase.com/organization/yogi,"Artificial Intelligence, Customer Service, Machine Learning, Natural Language Processing, Predictive Analytics, Software, Text Analytics","New York, New York, United States",Yogi is an AI powered customer feedback analytics service that processes online and offline feedback sources.,2300000,USD,2300000,Seed,"11,156",2,https://www.linkedin.com/company/yogi-feedback/,https://www.meetyogi.com/,"Chad Becker, Gautam Kanumuru"
Clarisights,https://www.crunchbase.com/organization/clarisights,"Advertising, Business Intelligence, SaaS","Palo Alto, California, United States",Clarisights is the next generation BI platform for data driven performance marketers.,2300000,USD,2300000,Seed,"13,490",2,https://www.linkedin.com/company/clarisights/,https://www.clarisights.com/,"Ankur Gupta, Arun Srinivasan"
Centricity,https://www.crunchbase.com/organization/centricity-a8a1,SaaS,"New York, New York, United States",Centricity is a Saas company providing micro market pre purchase intent data to todays modern retailer & CPG company,2300000,USD,2300000,Seed,"17,149",1,https://www.linkedin.com/company/centricityinc/about/?viewAsMember=true,https://centricityinsights.com/,Mike Brackett
Jobiak,https://www.crunchbase.com/organization/jobiak,"Advertising, Human Resources, Internet, Marketing, Software","Burlington, Massachusetts, United States","Jobiak is an AI-based recruitment marketing platform that publishes job postings to Google, accelerating the flow of qualified candidates.",2300000,USD,2300000,Seed,"21,196",1,https://www.linkedin.com/company/jobiak/,https://www.jobiak.ai/,Venkat Janapareddy
Pubstack,https://www.crunchbase.com/organization/pubstack,"Information Technology, Software","Paris, Ile-de-France, France","Pubstack is an internet company that collects, processes, and visualize events per day.",2300000,USD,2300000,Seed,"37,433",1,https://www.linkedin.com/company/pubstack/,https://pubstack.io/,"Guillaume Polaert, Loic Sfiligoi"
Render,https://www.crunchbase.com/organization/render,"Cloud Infrastructure, Internet, Software","San Francisco, California, United States",Render is the easiest cloud for developers and startups to host all their apps and sites.,2300000,USD,2300000,Seed,"53,145",1,https://www.linkedin.com/company/renderco/,https://render.com,Anurag Goel
Root AI,https://www.crunchbase.com/organization/root-ai,"AgTech, Artificial Intelligence, Machine Learning, Robotics, Software","Somerville, Massachusetts, United States",Root AI is a research company aiming to create intelligent robots that will help growers build the farms of the future.,2300000,USD,2300000,Seed,"61,629",1,https://www.linkedin.com/company/root-ai/,https://root-ai.com,"Josh Lessing, Joshua Lessing, Ryan Knopf"
iATROS,https://www.crunchbase.com/organization/iatros,"Artificial Intelligence, Health Care, Hospital, Machine Learning, Software","Munich, Bayern, Germany","Artificial Intelligence (AI), Cardiology, E-Health, Internet of Things (IoT), Machine Learning, Healthcare",2000000,EUR,2279901,Seed,"17,697",1,https://www.linkedin.com/company/iatros-smart-health/,https://www.i-atros.com,"Alexander Leber, Georges von Degenfeld-Schonburg, Jens Schäfer, Patrick Palacin, Wolfram Winter"
Cobee,https://www.crunchbase.com/organization/cobee,"Employee Benefits, Finance, Financial Services, FinTech, Software","Madrid, Madrid, Spain",Cobee is a Spanish fintech startup that develops an online platform that automates and simplifies employee benefits management.,2100000,EUR,2278354,Seed,"7,251",3,https://www.linkedin.com/company/cobee-espana,https://www.cobee.io/,"Borja Aranguren Herrera, Daniel Olea Martin"
Exein,https://www.crunchbase.com/organization/exein,"Cyber Security, Software","Roma, Lazio, Italy",Exein is a firmware focused cybersecurity startup,2000000,EUR,2273600,Series A,"27,732",1,https://www.linkedin.com/company/exein/,https://www.exein.io/,Gianni Cuozzo
Monk.ai,https://www.crunchbase.com/organization/monk-ai-a462,"Artificial Intelligence, Auto Insurance, Computer Vision, Insurance, Sharing Economy, Software","Paris, Ile-de-France, France",We create trust wherever an item changes hands by providing automated & objective condition reports showing every change.,2100000,EUR,2272515,Seed,"12,831",2,,https://www.monk.ai,"Abou Laraki, Faycal Slaoui"
Code Intelligence,https://www.crunchbase.com/organization/code-intelligence,"Network Security, Software","Bonn, Nordrhein-Westfalen, Germany",Code Intelligence provides modern security testing solutions using coverage based fuzzing.,2000000,EUR,2250225,Series A,"4,462",2,https://www.linkedin.com/company/codeintelligence,https://www.code-intelligence.com/,"Henning Perl, Khaled Yakdan, Philipp Langnickel, Sergej Dechand"
Place Technology,https://www.crunchbase.com/organization/place-technology,"Business Intelligence, Finance, SaaS, Software","Austin, Texas, United States",Place empowers accurate cash and financial forecasting for small and medium companies.,2250000,USD,2250000,Seed,"14,496",2,https://www.linkedin.com/company/place-technology/,https://www.placetechnology.com,"Brandon Metcalf, Kabe Vanderbaan"
Greyparrot,https://www.crunchbase.com/organization/greyparrot-ai,"Artificial Intelligence, B2B, Computer Vision, Information Technology, Machine Learning, Recycling, Software, Waste Management","London, England, United Kingdom",AI-based computer vision solutions to power next generation robotics and smart systems for the waste management industry.,1825000,GBP,2238014,Seed,"2,504",2,https://www.linkedin.com/company/19044235,https://greyparrot.ai,"Ambarish Mitra, Marco Paladini, Mikela Eskenazi, Nikola Sivacki"
remberg,https://www.crunchbase.com/organization/remberg,"Enterprise Software, Industrial Manufacturing, Machinery Manufacturing, SaaS","Munich, Bayern, Germany",remberg digitizes the service of industrial machinery and equipment with the cloud-based Asset-Relationship-Management System.,2000000,EUR,2214849,Seed,"15,741",1,https://www.linkedin.com/company/remberg/,https://remberg.de/,"Cecil Wöbker, David Hahn, Hagen Schmidtchen, Julian Madrzak"
MediQuo,https://www.crunchbase.com/organization/mediquo,"Apps, Health Care, Health Diagnostics, Hospital, Medical, mHealth, Software","Barcelona, Catalonia, Spain","Spain’s 24-hour, 7-day-a-week medical chat application.",2000000,EUR,2204536,Seed,"11,441",3,https://www.linkedin.com/company/mediquo/,https://www.mediquo.com/,"Albert Castells, Bruno Cuevas, Guillem Serra"
Actuate,https://www.crunchbase.com/organization/aegis-ai,"Artificial Intelligence, Information Technology, Machine Learning, Security, Software","New York, New York, United States",Actuate builds software that employs computer vision to automatically detect gun threats and intruders in security camera feeds,2200000,USD,2200000,Seed,"7,959",2,https://www.linkedin.com/company/aegissystemsai,http://www.actuate.ai,"Arati Prabhakar, Benjamin Ziomek, Sonny Tai"
Convictional,https://www.crunchbase.com/organization/convictional,"B2B, E-Commerce, Software, Trading Platform","Waterloo, Ontario, Canada","Convictional is a B2B Trade Enablement Network. We enabled buyers to source, onboard, and integrate with their trading partners.",2200000,USD,2200000,Seed,"12,652",3,https://www.linkedin.com/company/convictional/,https://convictional.com,"Chris Grouchy, Roger Kirkness"
