Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders
New York Shipping Exchange,https://www.crunchbase.com/organization/new-york-shipping-exchange-nyshex,"Logistics, Shipping, Software, Supply Chain Management, Transportation","New York, New York, United States",New York Shipping Exchange is enabling the transformation of the container shipping industry.,13000000,USD,13000000,Series A,"11,385",3,https://www.linkedin.com/company/new-york-shipping-exchange-nyshex-/,https://www.nyshex.com/,Gordon Trouncer Downes
MindMeld,https://www.crunchbase.com/organization/mindmeld,"Artificial Intelligence, Machine Learning, Mobile, Semantic Search, Software","San Francisco, California, United States",MindMeld is an advanced AI platform powering a new generation of intelligent conversational interfaces.,13000000,USD,13000000,Series A,"13,414",4,https://www.linkedin.com/company/mindmeld-inc,https://www.mindmeld.com,"Moninder Jheeta, Tim Tuttle"
ProdPerfect,https://www.crunchbase.com/organization/prodperfect,Software,"Boston, Massachusetts, United States","ProdPerfect is a platform that uses live traffic to automatically build, run, and maintain QA testing for web applications.",13000000,USD,13000000,Series A,"43,639",3,https://www.linkedin.com/company/prodperfect/,https://prodperfect.com/,"Daniel Widing, Erik Fogg, Wilson Funkhouser"
RapidDeploy,https://www.crunchbase.com/organization/rapiddeploy,"Business Intelligence, CAD, Enterprise Software, GovTech, Information Technology, Public Safety, SaaS, Software","Austin, Texas, United States",RapidDeploy is a Cloud–based Computer Aided Dispatch (CAD) and Analytics platform. ,13000000,USD,13000000,Series A,"50,202",1,https://www.linkedin.com/company/RapidDeploy/,http://www.RapidDeploy.com,"Brett Meyerowitz, Steven Raucher"
Starmount,https://www.crunchbase.com/organization/starmount,"E-Commerce, Mobile, Retail, Shopping, Software","Austin, Texas, United States",Starmount provides software to the retail markets converting standard shopping into a more personalized experience for buyers and sellers.,13000000,USD,13000000,Series A,"50,534",1,http://www.linkedin.com/company/starmount,http://www.starmount.com/,Joe Halloum
Alice Technologies,https://www.crunchbase.com/organization/alice-technologies,"Construction, Innovation Management, Real Estate, Software","Menlo Park, California, United States","Alice Technologies develops construction-engineering software for general contractors, subcontractors, and real estate developers.",12981436,USD,12981436,Series A,"5,772",7,https://www.linkedin.com/company/alice-technologies,http://alicetechnologies.com,"Prithvi Raj Jampana, Rene Morkos"
Fenestrae,https://www.crunchbase.com/organization/fenestrae,"Business Development, Enterprise Software, Software, Unified Communications","Den Haag, Zuid-Holland, The Netherlands",Fenestrae is a global provider of innovative solutions that help organizations improve agility and reduce costs,12900000,USD,12900000,Series A,"227,436",1,https://www.linkedin.com/company/fenestrae,http://www.fenestrae.com/,
GRAX,https://www.crunchbase.com/organization/grax,"Information Technology, Internet, Software","Boston, Massachusetts, United States","GRAX captures, retains, and correlates every single change in data over time.",12800000,USD,12800000,Series A,"16,561",1,https://www.linkedin.com/company/grax,https://www.grax.com/,"Christopher Haley, Joe Gaska"
CloudFabrix Software,https://www.crunchbase.com/organization/cloudfabrix-software,"Analytics, Cloud Management, IT Management, Machine Learning, Software","Pleasanton, California, United States",CloudFabrix is a an application analytics & intelligence company that provides cross-layer and cross-domain application operations insights,12750000,USD,12750000,Seed,"16,958",1,https://www.linkedin.com/company/cloudfabrix-software/,http://cloudfabrix.com/,Raju Datla
Elementary Robotics,https://www.crunchbase.com/organization/elementary-robotics,"Artificial Intelligence, Information Technology, Machine Learning, Robotics, Software","Los Angeles, California, United States",Elementary Robotics is a robotics startup that built a platform for applying machine learning to the logistics industries.,12700000,USD,12700000,Series A,268,3,https://www.linkedin.com/company/elementary-robotics/,https://www.elementaryrobotics.com/,"Arye Barnehama, Bill Gross"
Hyper Anna,https://www.crunchbase.com/organization/hyper-anna,"Analytics, Artificial Intelligence, Banking, Data Visualization, Machine Learning, SaaS, Software","Sydney, New South Wales, Australia",Hyper Anna is an Artificial Intelligence powered data analyst - Siri for analytics.,16000000,AUD,12697354,Series A,"46,977",2,https://www.linkedin.com/company/hyper-anna,http://www.hyperanna.com,"Natalie Nguyen, Sam Zheng"
yulife,https://www.crunchbase.com/organization/yu-life,"Gamification, Insurance, Life Insurance, Software, Wellness","London, England, United Kingdom","yulife is a lifestyle insurance company that brings together life insurance, wellbeing, and rewards in one simple app.",10000000,GBP,12658788,Series A,"6,375",3,https://www.linkedin.com/company/yu-life,http://yulife.com,"Jaco Oosthuizen, Jonathan Roomer, Josh Hart, Sam Fromson, Sammy Rubin"
Text IQ,https://www.crunchbase.com/organization/text-iq,"Artificial Intelligence, Compliance, Enterprise Software, Information Technology, Machine Learning, Software","San Francisco, California, United States",Text IQ uses groundbreaking AI technology to protect companies from high-stakes legal and compliance disasters.,12600000,USD,12600000,Series A,"7,116",3,https://www.linkedin.com/company/textiq,http://www.textiq.com,"Apoorv Agarwal, Omar Haroun"
Push Technology,https://www.crunchbase.com/organization/push-technology,"Internet of Things, Mobile, Real Time, Software","London, England, United Kingdom","Push Real-Time, Delta-Data, streaming technology optimizes data delivery for Web, Mobile & IoT Apps.",10000000,GBP,12518746,Series A,"7,858",3,http://www.linkedin.com/company/push-technology-limited,http://www.pushtechnology.com,Sean Bowen
Crossbeam,https://www.crunchbase.com/organization/crossbeam,"Analytics, Business Development, SaaS, Software","Philadelphia, Pennsylvania, United States",Crossbeam is a collaborative data platform that helps companies build more valuable partnerships.,12500000,USD,12500000,Series A,"4,866",2,https://www.linkedin.com/company/getcrossbeam/,https://www.crossbeam.com/,"Bob Moore, Buck Ryan"
AutoRABIT,https://www.crunchbase.com/organization/autorabit-inc,"Analytics, Cloud Data Services, Data Integration, Developer Platform, Enterprise Software, Information Technology, Productivity Tools, SaaS, Sales Automation, Software","San Ramon, California, United States",AutoRABIT enables collaboration and automation for developers to automate CI and CD process for cloud-based development platforms.,12500000,USD,12500000,Series A,"5,747",1,https://www.linkedin.com/company/autorabit,http://www.AutoRABIT.com,"Vijaya Rayudu, Vishnu Datla"
"LiveTechnology Holdings, Inc.",https://www.crunchbase.com/organization/livetechnology-holdings--inc-,"Advertising, Marketing Automation, Software","Tuxedo Park, New York, United States","LiveTechnology helps businesses and organizations manage their communications, marketing and data across all media channels.",12500000,USD,12500000,Series A,"180,150",1,https://www.linkedin.com/company/livetechnology,http://www.livetechnology.com,
Circle Cardiovascular Imaging,https://www.crunchbase.com/organization/circle-cardiovascular-imaging,"Computer, Health Care, Information Technology, Software","Calgary, Alberta, Canada",Circle Cardiovascular Imaging develops and markets cardiovascular post-processing software.,16000000,CAD,12429424,Series A,"12,985",4,https://www.linkedin.com/company/circle-cardiovascular-imaging-inc./,http://www.circlecvi.com/,Kelly Cherniwchan
Stord,https://www.crunchbase.com/organization/stord,"Freight Service, Information Technology, Logistics, Real Time, Software, Supply Chain Management, Warehousing","Atlanta, Georgia, United States","Stord is an integrated, omni-channel, and cloud-based supply chain platform.",12409993,USD,12409993,Series A,"1,218",5,https://www.linkedin.com/company/stord/,http://www.stord.com,"Jacob Boudreau, Sean Henry"
B12,https://www.crunchbase.com/organization/b12io,"Artificial Intelligence, Computer, Productivity Tools, Small and Medium Businesses, Software, Web Development","New York, New York, United States","B12 offers a human-assisted A.I. approach to build, manage, and optimize beautiful and professional websites.",12400000,USD,12400000,Series A,"4,234",1,https://www.linkedin.com/company/team-b12,https://b12.io,"Adam Marcus, Nitesh Banta"
Viisage Technology,https://www.crunchbase.com/organization/viisage-technology,"Computer, Information Technology, Software","Littleton, Massachusetts, United States",Viisage Technology is a provider of identity verification technology.,12350000,USD,12350000,Series A,"156,658",2,,http://www.viisage.com,
Groove,https://www.crunchbase.com/organization/groove-2,"Direct Sales, Sales, Sales Automation, Software","San Francisco, California, United States",Groove is a sales engagement platform that automates non-sales activities so that sales teams can spend time generating revenue.,12200000,USD,12200000,Series A,"4,380",2,https://www.linkedin.com/company/groove.co/,http://www.groove.co/,"Alexander Kerschhofer, Austin Wang, Chris Rothstein"
Process Street,https://www.crunchbase.com/organization/process-street,"Information Technology, Productivity Tools, Project Management, SaaS, Software","San Francisco, California, United States","Process Street is a SaaS platform that allows teams create, track, and optimize business process workflows.",12200000,USD,12200000,Series A,"4,979",4,https://www.linkedin.com/company/process-street,http://process.st,"Cameron McKay, Vinay Patankar"
NEAR Protocol,https://www.crunchbase.com/organization/near-0565,"Blockchain, Information Technology, Software","San Francisco, California, United States",NEAR Protocol is a blockchain designed to provide the performance and UX to get to mainstream adoption of decentralized applications,12100000,USD,12100000,Series A,"5,675",2,https://www.linkedin.com/company/near-protocol/,https://nearprotocol.com,"Alexander Skidanov, Illia Polosukhin"
Sentiance,https://www.crunchbase.com/organization/sentiance,"Artificial Intelligence, Internet of Things, Machine Learning, Predictive Analytics, Software","Antwerpen, Antwerpen, Belgium",Sentiance is a data science and behavioral change company turning sensor data into rich insights about people’s behavior and context.,10125000,EUR,12088902,Series A,"5,957",7,https://www.linkedin.com/company/sentiance/,https://www.sentiance.com,Toon Vanparys
Deepgram,https://www.crunchbase.com/organization/deepgram,"Analytics, Artificial Intelligence, Audio, Human Computer Interaction, Software, Speech Recognition, Video","San Francisco, California, United States",Deepgram helps enterprises unlock the potential of their audio data with custom trained speech recognition for accuracy and scale.,12000000,USD,12000000,Series A,"2,932",5,https://www.linkedin.com/company/deepgram,https://www.deepgram.com/,"Noah Shutty, Scott Stephenson"
Zippin,https://www.crunchbase.com/organization/zippin,"Artificial Intelligence, Computer, Shopping, Software","San Francisco, California, United States",Zippin is the next generation of checkout-free technology enabling retailers to quickly deploy frictionless shopping in their stores. ,12000000,USD,12000000,Series A,"4,674",1,https://www.linkedin.com/company/zippin/,https://www.getzippin.com/,Krishna Motukuri
Jellyfish,https://www.crunchbase.com/organization/jellyfish-445f,Software,"Boston, Massachusetts, United States","Engineering Management Platform, helping engineering leaders focus teams on what matters most to the business and drive strategic decisions.",12000000,USD,12000000,Series A,"5,457",1,https://www.linkedin.com/company/jelly-ai,http://jellyfish.co,"Andrew Lau, David Gourley, Philip Braden"
Team Labs,https://www.crunchbase.com/organization/team-labs,"FinTech, SaaS, Software","New York, New York, United States","Team Labs develops Teampay, a purchasing software that allows companies to provide virtual credit cards to their employees.",12000000,USD,12000000,Series A,"5,463",3,https://www.linkedin.com/company-beta/12178284/,https://www.teampay.co,Andrew Hoag
Joist,https://www.crunchbase.com/organization/joist,"Construction, Mobile, Payments, Small and Medium Businesses, Software","Toronto, Ontario, Canada",Contractor Estimating and Invoicing Tool,12000000,USD,12000000,Series A,"5,489",3,https://www.linkedin.com/company/joist,https://www.joist.com,"Brendan McBride, Brendon Sedo, Justin Kathan, Mike Gauthier"
Unlearn.AI,https://www.crunchbase.com/organization/unlearn-ai,"Artificial Intelligence, Bioinformatics, Biopharma, Clinical Trials, Computer, Life Science, Machine Learning, Software","San Francisco, California, United States",Unlearn.AI is a developer of a platform designed to make computational clinical trials.,12000000,USD,12000000,Series A,"6,310",1,https://www.linkedin.com/company/unlearn-ai/,https://www.unlearn.health/,Charles Fisher
Eloomi,https://www.crunchbase.com/organization/eloomi,"Application Performance Management, Compliance, Corporate Training, E-Learning, Education, Human Resources, Information Technology, SaaS, Software","Copenhagen, Hovedstaden, Denmark",eloomi is a software tool that simplifies skill training and performance improvement in an organization.,12000000,USD,12000000,Series A,"6,540",5,http://www.linkedin.com/company/eloomi,http://eloomi.com/,"Claus Johansen, Peter Hindkjaer"
sp0n,https://www.crunchbase.com/organization/sp0n,"Consumer Applications, Public Safety, Software","Manhattan, New York, United States",sp0n develops an application that lists those calls that are a threat to public safety.,12000000,USD,12000000,Series A,"7,746",1,https://www.linkedin.com/company/10985521/,http://www.sp0n.com,"Andrew Frame, Mark Essel"
ZIVVER,https://www.crunchbase.com/organization/zivver,"Cyber Security, Information Technology, Messaging, SaaS, Software","Amsterdam, Noord-Holland, The Netherlands","ZIVVER is a solution that secures e-mail, chat, or file transfer to prevent data leaks in the exchange of sensitive information.",12000000,USD,12000000,Series A,"7,986",2,https://www.linkedin.com/company/zivver,https://www.zivver.eu,"Alwin Schoemaker, Jeroen Diederix, Rick Goud, Vincent van Donselaar, Wouter Klinkhamer"
PolyAI,https://www.crunchbase.com/organization/poly-ai,"Artificial Intelligence, Call Center, Customer Service, Enterprise Software, Machine Learning, Software","London, England, United Kingdom",PolyAI develops a machine learning platform for conversational artificial intelligence.,12000000,USD,12000000,Series A,"8,005",2,https://www.linkedin.com/company/18328585/,http://www.poly-ai.com/,"Nikola Mrkšić, Pei-Hao Su, Tsung-Hsien Wen"
Ontic,https://www.crunchbase.com/organization/ontic-technologies,"Artificial Intelligence, Cyber Security, Information Technology, Security, Software","Austin, Texas, United States",Ontic is a protective intelligence software platform for businesses to proactively address physical safety.,12000000,USD,12000000,Series A,"8,021",2,https://www.linkedin.com/company/ontic-technologies/,https://www.ontictechnologies.com/,"Gagan Jain, Lukas Quanstrom, Thomas Kopecky"
Placer,https://www.crunchbase.com/organization/placer,"Analytics, Computer, Geospatial, Internet, Location Based Services, Retail, Retail Technology, Software","Los Altos, California, United States","Placer.ai empowers professionals in retail, commercial real estate, hospitality, and economic development.",12000000,USD,12000000,Series A,"8,046",3,https://www.linkedin.com/company/placer/,https://www.placer.ai/,"Noam Ben-Zvi, Oded Fossfeld, Ofir Lemel, Zohar Bar-Yehuda"
Verse.io,https://www.crunchbase.com/organization/agentology,"Lead Management, Marketing, Marketing Automation, Messaging, SMS, Software","San Diego, California, United States","Verse helps businesses engage, qualify and nurture their prospects through authentic conversations powered by real people and powerful tech.",12000000,USD,12000000,Series A,"8,165",4,https://www.linkedin.com/company-beta/6615264/,https://www.verse.io,"Avi Tal, David Tal"
Confident Cannabis,https://www.crunchbase.com/organization/confident-cannabis,"Analytics, Cannabis, E-Commerce, Information Technology, SaaS, Software","Palo Alto, California, United States",The World's First Technology Solution To Bring Transparency And Consistency To Legal Cannabis Through Data And Insights.,12000000,USD,12000000,Series A,"8,762",2,https://www.linkedin.com/company/confident-cannabis,http://www.confidentcannabis.com/,"Stephen Albarran, Tony Lewis"
Element,https://www.crunchbase.com/organization/element-inc,"Artificial Intelligence, Biometrics, Identity Management, Information Technology, Mobile, Software","New York, New York, United States",Element develops and distributes mobile-based platforms for digital identity.,12000000,USD,12000000,Series A,"9,142",3,https://www.linkedin.com/company/6989871/,http://www.discoverelement.com,"Adam Perold, Yann LeCun"
Roojoom,https://www.crunchbase.com/organization/roojoom,"Email Marketing, Enterprise Software, Marketing, Marketing Automation, Personalization, SaaS, Software","Boston, Massachusetts, United States","Roojoom enables brands to gain control over each customer’s personal journey using algorithms-built unique CX, boosting KPIs",12000000,USD,12000000,Series A,"9,244",5,http://www.linkedin.com/company/2742214,http://www.roojoom.com,"Or Meirov, Rami Ricanati, Yuval Shemesh"
GitGuardian,https://www.crunchbase.com/organization/gitguardian,"Cloud Security, Computer, Cyber Security, Software","Paris, Ile-de-France, France",GitGuardian is a cybersecurity start-up embarked on a mission to take credentials out of source code.,12000000,USD,12000000,Series A,"9,396",3,https://www.linkedin.com/company/gitguardian,https://gitguardian.com,"Eric Fourrier, Jérémy Thomas"
Movista,https://www.crunchbase.com/organization/movista,"Information Technology, Software, Web Hosting","Bentonville, Arkansas, United States","Movista helps companies manage, verify, and communicate with their mobile workforces.",12000000,USD,12000000,Series A,"13,098",7,http://www.linkedin.com/company/movista-llc,http://mvretail.com,"April Seggebruch, Stan Zylowski"
SALIDO,https://www.crunchbase.com/organization/salido,"Big Data, Cloud Computing, CRM, Hospitality, Logistics, Mobile Payments, Payments, SaaS, Software, Supply Chain Management","New York, New York, United States","SALIDO is working with hospitality operators, developing a single platform for their restaurant operations.",12000000,USD,12000000,Series A,"13,372",3,http://www.linkedin.com/company/salido,http://salido.com,"Shom Chowdhury, Shu Chowdhury"
MindTouch,https://www.crunchbase.com/organization/mindtouch,"Customer Service, Information Technology, SaaS, SEO, Software","San Diego, California, United States","MindTouch is cloud software that provides self-service customer experiences that create experts and improves marketing, sales and support.",12000000,USD,12000000,Series A,"13,551",1,http://www.linkedin.com/company/75705,http://www.mindtouch.com,"Aaron Fulkerson, Steve Bjorg"
OroCommerce,https://www.crunchbase.com/organization/oro,"B2B, CRM, E-Commerce, Enterprise Software, Open Source, SaaS, Software","Los Angeles, California, United States","OroCommerce is the company behind OroCRM, OroCommerce and the OroPlatform.",12000000,USD,12000000,Series A,"13,771",1,https://www.linkedin.com/company/oro-inc-,http://www.orocommerce.com,"Dima Soroka, Jary Carter, Yoav Kutner"
Game Closure,https://www.crunchbase.com/organization/game-closure,"Gaming, Software, Web Development","Mountain View, California, United States","Game Closure develops multiplayer gaming technology that helps compile, accelerate and deploy games.",12000000,USD,12000000,Series A,"14,979",2,https://www.linkedin.com/company/game-closure/,http://www.gameclosure.com,"Jacob Lyles, Martin Hunt, Michael Carter, Tom Fairfield"
Tacton Systems,https://www.crunchbase.com/organization/tacton,"Sales, Sales Automation, Software","Stockholm, Stockholms Lan, Sweden",Tacton Systems is a global vendor of sales and product configuration software and services. ,12000000,USD,12000000,Series A,"15,222",1,http://www.linkedin.com/company/tacton-systems-ab,http://www.tacton.com,Mattias Waldau
Velocidi,https://www.crunchbase.com/organization/velocidi,"Analytics, Cloud Data Services, Data Integration, Enterprise Software, Machine Learning, Predictive Analytics, Software","New York, New York, United States",Velocidi is a Private Customer Data Platform (CDP),12000000,USD,12000000,Series A,"18,473",1,https://www.linkedin.com/company/velocidi,http://www.velocidi.com,"David Dunne, Jon Rygh"
Fuse,https://www.crunchbase.com/organization/fuse-2,"Apps, Developer APIs, Developer Platform, Software","Oslo, Oslo, Norway","Fuse makes apps development faster, easier and more fun for both designers and developers.",12000000,USD,12000000,Series A,"19,048",4,https://www.linkedin.com/company/3092054,https://www.fusetools.com/,"Anders Lassen, Morten Fornes"
Sinch,https://www.crunchbase.com/organization/sinch,"Messaging, Mobile, SaaS, SMS, Software, Telecommunications","Stockholm, Stockholms Lan, Sweden",Sinch connects businesses and customers through tools enabling personal engagement.,12000000,USD,12000000,Series A,"25,916",1,https://www.linkedin.com/company/sinch,https://www.sinch.com/,"Andreas Bernstrom, Bjorn Zethraeus, Daniel Forsman, Johan Hedberg, Kjell Arvidsson, Kristian Männik, Robert Gerstmann"
SilverVue,https://www.crunchbase.com/organization/silvervue,"Computer, Health Care, Hospital, Software","Sandy, Utah, United States",SilverVue is using technological advances to transform the delivery of healthcare.,12000000,USD,12000000,Series A,"27,667",1,https://www.linkedin.com/company/silvervue/,http://www.silvervue.com/,Will West
DWNLD,https://www.crunchbase.com/organization/dwnld-2,"Apps, Internet, Publishing, Software","New York, New York, United States",DWNLD is a publishing platform that takes any website and seamlessly turns it into an app.,12000000,USD,12000000,Series A,"38,170",2,,https://dwnld.me,Alexandra Keating
HeyJobs,https://www.crunchbase.com/organization/heyjobs,"Artificial Intelligence, Human Resources, Information Technology, Recruiting, SaaS, Software","Berlin, Berlin, Germany",HeyJobs is a talent platform matching the world's talent to opportunities.,12000000,USD,12000000,Series A,"44,933",2,https://www.linkedin.com/company/10477629/,https://hire.heyjobs.co/en-us/,"Marius Jeuck, Marius Luther"
Adeptra,https://www.crunchbase.com/organization/adeptra,"Analytics, Banking, Information Technology, Public Relations, Risk Management, Software","Norwalk, Connecticut, United States",Adeptra provides automated contact and resolution services to consumer credit and risk management companies.,12000000,USD,12000000,Series A,"127,827",1,,http://www.adeptra.com,Martyn Walker
NOCpulse,https://www.crunchbase.com/organization/nocpulse,"Infrastructure, Internet, Software","Sunnyvale, California, United States",NOCpulse designs internet infrastructure to provide networking services and technology management solutions to online businesses.,12000000,USD,12000000,Series A,"526,567",1,,http://www.nocpulse.com,Paul Santinelli
TWAICE,https://www.crunchbase.com/organization/twaice,"Analytics, Information Technology, Software","Munich, Bayern, Germany",TWAICE supports enterprises across industries with digital twin-based predictive battery analytics software.,11000000,EUR,11977847,Series A,"7,187",3,https://www.linkedin.com/company/twaice/,https://twaice.com/,"Michael Baumann, Stephan Rohr"
Finiata,https://www.crunchbase.com/organization/bezahlt,"Finance, Financial Services, FinTech, Payments, Social Entrepreneurship, Software","Berlin, Berlin, Germany",Finiata provides working capital financing for freelancers and SME's over a fully automated data driven scoring technology.,10000000,EUR,11774582,Series A,"7,552",4,https://www.linkedin.com/company/finiata/,https://www.finiata.com/,"Daniel Schlotter, Kenan Deniz, Naveen Prasad, Sebastian Diemer"
Kayak Interactive,https://www.crunchbase.com/organization/kyak-interactive,"Gaming, Mobile, Software","San Mateo, California, United States",Kayak Interactive is the software company that delivers an interactive multi-player mobile gaming experience.,11750000,USD,11750000,Series A,"305,825",1,,https://blaze.com/,
Doctrine,https://www.crunchbase.com/organization/doctrine,"Analytics, Artificial Intelligence, Legal, Legal Tech, Machine Learning, SaaS, Software","Paris, Ile-de-France, France",Doctrine builds legal research and analytics software for legal professionals.,10000000,EUR,11701517,Series A,"13,115",2,https://www.linkedin.com/company/doctrine,https://www.doctrine.fr,"Antoine Dusséaux, Nicolas Bustamante, Raphael Champeimont"
Odaseva,https://www.crunchbase.com/organization/odaseva,"Business Information Systems, Cloud Security, Enterprise Software, Information Technology, SaaS, Software","San Francisco, California, United States","Odaseva is the Salesforce Partner providing Data Protection , Data Privacy  and DataOps.",11700000,USD,11700000,Series A,"8,700",2,https://www.linkedin.com/company/odaseva/,https://www.odaseva.com/,"Richard Zolezzi, Rémy Claret, Sovan Bin, Vincent Delamarre"
Platina Systems,https://www.crunchbase.com/organization/platina-systems,"Computer, Infrastructure, Internet, Software","Santa Clara, California, United States",Platina Systems is a stealth startup company.,11700000,USD,11700000,Series A,"19,039",3,https://www.linkedin.com/in/mark-yin-79a4951,http://www.platinasystems.com/,"Frank Yang, Mark Yin"
Swift Medical,https://www.crunchbase.com/organization/swift-medical,"Health Care, Medical, Medical Device, Software","Toronto, Ontario, Canada",The world’s most advanced and comprehensive digital wound care.,11600000,USD,11600000,Series A,"10,022",3,https://www.linkedin.com/company/swift-medical,https://swiftmedical.com/,"Carlo Perez, Edwin Liang"
Thinknum,https://www.crunchbase.com/organization/thinknum,"Analytics, Finance, FinTech, Software","New York, New York, United States",Thinknum is a web platform that allows investors to get data driven investment ideas by monitoring companies' websites.,11600000,USD,11600000,Series A,"15,766",2,http://www.linkedin.com/company/thinknum,http://www.thinknum.com,"Gregory Ugwi, Justin Zhen"
Polarr,https://www.crunchbase.com/organization/polarr,"Artificial Intelligence, Machine Learning, Photo Editing, Photo Sharing, Photography, Software","San Jose, California, United States",Polarr develops and operates online photo-editing software.,11500000,USD,11500000,Series A,"3,161",3,http://www.linkedin.com/company/polarr-co/,https://www.polarr.com/,"Borui Wang, Derek Yan, Enhao Gong"
Carrot Fertility,https://www.crunchbase.com/organization/carrot-fertility,"Employee Benefits, Fertility, Human Resources, Personal Finance, Software","San Francisco, California, United States","Carrot offers a fertility benefit for modern companies, focused on making fertility care easier, accessible, and more affordable.",11500000,USD,11500000,Series A,"3,993",4,https://www.linkedin.com/company/get-carrot/,https://www.get-carrot.com,"Arun Venkatesan, Asima Ahmad, Juli Insinger, Tammy Sun"
Fond,https://www.crunchbase.com/organization/fond,"Employee Benefits, Human Resources, SaaS, Software, Subscription Service","San Francisco, California, United States",Fond is a SaaS platform that makes it easy to manage rewards and recognition programs.,11500000,USD,11500000,Series A,"4,044",5,https://www.linkedin.com/company/fondco/,https://www.fond.co,"Sunny Tsang, Taro Fukuyama"
UrbanFootprint,https://www.crunchbase.com/organization/calthorpe-analytics,"Collaboration, GovTech, Information Technology, Smart Cities, Software","Berkeley, California, United States",UrbanFootprint is location intelligence software for smart cities.,11500000,USD,11500000,Series A,"5,932",2,https://www.linkedin.com/company/urbanfootprint,https://www.urbanfootprint.com,"Joe Distefano, Peter Calthorpe"
Alyce,https://www.crunchbase.com/organization/alyce-co,"Artificial Intelligence, Machine Learning, Software","Boston, Massachusetts, United States",Alyce is an AI-powered platform that works as a door-opener or to continue to develop real sales relationships.,11500000,USD,11500000,Series A,"6,129",2,https://www.linkedin.com/company/alyce-co/,http://alyce.com,Greg Segall
DEV,https://www.crunchbase.com/organization/dev-to,"Association, Communities, Computer, Publishing, Software","New York, New York, United States",Dev is a community of software developers getting together to help one another out.,11500000,USD,11500000,Series A,"6,377",2,https://www.linkedin.com/company/thepracticaldev/about/,https://dev.to/,"Ben Halpern, Jess Lee, Peter Frank"
Treez,https://www.crunchbase.com/organization/treez,"Cannabis, Point of Sale, Retail Technology, Software","Oakland, California, United States",Leading cannabis seed to sale software platform,11500000,USD,11500000,Series A,"8,123",2,https://www.linkedin.com/company/10783136?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A10783136%2Cidx%3A2-1-2%2CtarId%3A1478212306511%2Ctas%3ATreez,http://treez.io,"John Yang, Shareef El-Sissi, Wayne Lee"
SignalWire,https://www.crunchbase.com/organization/signalwire,"Information Technology, Mobile, PaaS, Software, Telecommunications","Palo Alto, California, United States",SignalWire is a developer driven telecom stack that runs in a distributed global network in the cloud.,11500000,USD,11500000,Series A,"8,542",2,https://www.linkedin.com/company/signalwire/,http://www.signalwire.com,"Anthony Minessale, Evan McGee, Sean Heiney"
Shiftboard,https://www.crunchbase.com/organization/shiftboard,"B2B, Human Resources, Information Technology, Internet, SaaS, Scheduling, Software","Seattle, Washington, United States","Shiftboard Online Scheduling, cloud-based workforce management software, enables automated and real-time scheduling for hourly employees.",11500000,USD,11500000,Series A,"12,509",5,https://www.linkedin.com/company/235879/,http://www.shiftboard.com,Bryan Lhuillier
Honorlock,https://www.crunchbase.com/organization/honorlock,"Education, Local, Service Industry, Software, Web Apps","Boca Raton, Florida, United States",Honorlock provides remote proctoring services for online assessments using webcams and screen-capturing technology.,11500000,USD,11500000,Series A,"52,992",5,https://www.linkedin.com/company/honorlock-llc,https://honorlock.com/,"Adam Roth, Elena Soboleva"
Shunra Software,https://www.crunchbase.com/organization/shunra-software,"Cloud Computing, Mobile, Software, Web Hosting","Philadelphia, Pennsylvania, United States",Shunra is the industry-recognized leader in Application Performance Engineering (APE) and a pioneer in WAN Emulation.,11500000,USD,11500000,Series A,"144,081",1,https://www.linkedin.com/company/shunra/about/,http://www.shunra.com,
AccuRx,https://www.crunchbase.com/organization/accurx-2,"Computer, Health Care, Information Technology, Internet, Software","London, England, United Kingdom",AccuRx is on a mission to bring patients and their healthcare teams together.,8800000,GBP,11496325,Series A,"6,760",4,https://www.linkedin.com/company/accurx/,http://www.accurx.com/,"Jacob Haddad, Laurence Bargery"
Honeycomb,https://www.crunchbase.com/organization/honeycombio,"Analytics, Big Data, Computer, Data Visualization, Database, Developer Tools, Information Technology, Software","San Francisco, California, United States","Honeycomb is a power tool for complex/distributed systems, microservices and databases. Dive into your data and find unknown-unknowns today.",11400000,USD,11400000,Series A,"1,317",4,https://www.linkedin.com/company/honeycomb.io/,https://www.honeycomb.io/,"Charity Majors, Christine Yen"
WaterBit,https://www.crunchbase.com/organization/waterbit-inc,"Agriculture, AgTech, Robotics, Software","San Jose, California, United States",WaterBit’s automated irrigation solution empowers growers to remotely monitor and control precision irrigation to their crops.,11400000,USD,11400000,Series A,"13,201",1,https://www.linkedin.com/company/waterbit-inc/,http://www.waterbit.com/,"Leif Chastaine, Manu Pillai"
Sentryo,https://www.crunchbase.com/organization/sentryo,"Artificial Intelligence, Computer, Industrial, Information Technology, Internet of Things, Security, Software, Technical Support","Villeurbanne, Rhone-Alpes, France",Sentryo develops and provides cybersecurity and situation awareness solutions to industrial networks and the internet of things.,10000000,EUR,11354475,Series A,"11,424",3,https://www.linkedin.com/company/sentryo,http://www.sentryo.net,"Laurent Hausermann, Thierry Rouquet"
