Organization Name,Organization Name URL,Industries,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders,Estimated Revenue Range,Trend Score (90 Days),Top 5 Investors,Headquarters Location,Investment Stage
Instant API Inc.,https://www.crunchbase.com/organization/instant-api,"Cloud Computing, Developer APIs, Enterprise Software, Information Technology, Software","Instant API Easy offers an easy way to build, host, support, and sell API as a service platform from existing data, services, and code.",250000,USD,250000,Seed,"53,111",4,https://www.linkedin.com/company/instant-api,http://www.instantapi.com,"Mimi Ling, Scott Ling, Sunil Kunar",$1M to $10M,0,"Acceleprise, Tech Wildcatters, Imperious Group VC, Scott Ling, Mimi Ling","Lewes, Delaware, United States",
RootsRated,https://www.crunchbase.com/organization/rootsrated,"Apps, Big Data, Mobile, SaaS, Social Media","RootsRated is a media platform that connects users with the best outdoor experiences, hand- picked by local experts.",415000,USD,415000,Seed,"53,778",2,http://www.linkedin.com/company/rootsrated,https://rootsrated.media/,"Dawson Wheeler, Fynn Glover, Gordon Seabury, Mark McKnight",,2.8,"Chattanooga Renaissance Fund, Stephen Culp","Atlanta, Georgia, United States",
TreVia Digital Health,https://www.crunchbase.com/organization/trevia-digital-health,"Health Care, Software","TreVia is a health care company that provides cutting-edge technology solutions to the diabetes care industry,",1600000,USD,1600000,Seed,"53,970",2,https://www.linkedin.com/company/5902130,http://treviadigitalhealth.com,"David Dyer, David Hulshof, James Higgins",,0,,"Overland Park, Kansas, United States",
Link Big,https://www.crunchbase.com/organization/link-big,"B2B, Cloud Computing, Cloud Data Services, FinTech, Information Services, InsurTech, Machine Learning, Retail Technology, Social Media Marketing, Travel",Link Big is a smart link that finally transform general mobile web links to personal user experience links.,125000,GBP,168420,Seed,"54,379",3,https://www.linkedin.com/company/link-big-ltd.,http://www.link-big.com/,"Nadav Raviv, Yinon Werner",,0,"Ignite Accelerator, L Marks, John Lewis & Partners, Stuart Marks, SIRIUS Program","Birmingham, Birmingham, United Kingdom",
Signet Accel,https://www.crunchbase.com/organization/signet-accel,"Health Diagnostics, Information Services, Information Technology, Software",To serving the healthcare industry.,8000000,USD,8000000,Series A,"54,659",1,https://www.linkedin.com/company/10091267/,http://signetaccel.com/,Philip Payne,,2.1,Edison Partners,"Columbus, Ohio, United States",
Tyche,https://www.crunchbase.com/organization/tyche,"Information Technology, InsurTech, Legal, Software",Tyche discovers new information to help insurers make smart decisions about the risks they insure.,40000,USD,40000,Seed,"54,697",2,https://www.linkedin.com/company/tyche-risk,http://www.tycherisk.co,"Adam Cassady, David DeAngelis",Less than $1M,-0.1,"Alchemist Accelerator, Global Insurance Accelerator","New York, New York, United States",
Marketfox,https://www.crunchbase.com/organization/marketfox,"Analytics, Email Marketing, Internet, Marketing Automation, Social Media, Software",Marketfox is a Marketing Automation software that simplify Marketing with AI. ,120000,USD,120000,Seed,"54,712",1,https://www.linkedin.com/company-beta/17934567,https://www.marketfox.io,"Mohammed Aboobacker, Sojan V Jose, Sony Mathew, Sooraj Chandran",$1M to $10M,2.9,Y Combinator,"Walnut, California, United States",
"Rezli, Inc.",https://www.crunchbase.com/organization/iron-gaming,"Career Planning, Gaming, Internet, Social Network, Software",Rezli is a social networking and career building platform that empowers creative technologists to turn their passion into a career.,1442000,USD,1442000,Series A,"55,194",4,https://www.linkedin.com/company/iron-gaming-inc,https://www.rezli.com/,Cory Allison,,-0.2,"The JumpFund, Solidus Company, Chattanooga Renaissance Fund, Blank Slate Ventures","Chattanooga, Tennessee, United States",
Glassbreakers,https://www.crunchbase.com/organization/glassbreakers-co,"Enterprise Software, Internet, Software",Glassbreakers is an enterprise software company that provides inclusive talent development software solutions for diversity and inclusion.,,,,Seed,"55,792",3,https://www.linkedin.com/company/glassbreakers,http://www.glassbreakers.co/,,,-0.1,"Acceleprise, Ulu Ventures","Oakland, California, United States",
Halolife,https://www.crunchbase.com/organization/halolife,"Communities, Internet, Software",Halolife is an online platform that provides step-by-step guidance to plan and find a burial or cremation service that meets your needs.,120000,USD,120000,Seed,"56,064",1,https://www.linkedin.com/company/halolife,https://halolife.com/,"Jake Beyer, Sam Bolgert",,-0.1,Y Combinator,"San Francisco, California, United States",
Jeeliz,https://www.crunchbase.com/organization/jeeliz,"Augmented Reality, Computer Vision, Machine Learning, Software, Video, Web Apps","We run deep learning neural networks inside the web browser using webgl. We do real-time face detection and tracking, glasses VTO, webAR.",100000,USD,100000,Pre-Seed,"57,251",1,https://www.linkedin.com/company/11052999/,https://jeeliz.com,"Chouki Hadri, Xavier Bourry",,-0.2,,"Palaiseau, Ile-de-France, France",
Minetta Brook,https://www.crunchbase.com/organization/minetta-brook,"Analytics, Big Data, Machine Learning, Software","Minetta Brook develops software that enables users to navigate, discover, and track relevant information from large bodies of data.",1626000,USD,1626000,Series A,"57,987",6,https://www.linkedin.com/company/minetta-brook,http://www.minettabrook.com,"Chandra Jonelagadda, Deepak Bharadwaj, Prabhu Venkatesh, Raghu Govindaraj, Sharad Rao",Less than $1M,-0.4,"Portland Seed Fund, Keiretsu Forum, Naya Ventures, Keiretsu Forum Northwest, TiE Angels","Kirkland, Washington, United States",
bitHound,https://www.crunchbase.com/organization/bithound,"Information Technology, Internet, Software",bitHound is a software analytics solution that provides information to help developers improve their software solutions.,,,,Seed,"58,629",2,http://www.linkedin.com/company/bithound,http://www.bithound.io,"Dan Silivestru, Gord Tanner, Pj Lowe",$1M to $10M,-0.5,"MaRS Investment Accelerator Fund, BDC Capital Corporation, Michael Wekerle","Kitchener, Ontario, Canada",
Transpose,https://www.crunchbase.com/organization/transpose,"Database, Internet, Software","A smart workspace for businesses to manage projects, data, assignments and more -- all on one structured platform.",1500000,USD,1500000,Seed,"59,050",1,https://www.linkedin.com/company-beta/2893286/,https://transpose.com/,"Hussein Ahmed, Matt Goyer, Samah Gad, Skyler Johnson-Wagner",,-0.1,"Founders' Co-op, Alliance of Angels","Seattle, Washington, United States",
Activity Rocket,https://www.crunchbase.com/organization/activity-rocket,"B2B, Internet","Activity Rocket is a first of its kind Internet search engine to search, compare, share, and book kid's classes and camps.",,,,Seed,"59,925",2,http://www.linkedin.com/company/activity-rocket,http://www.activityrocket.com,"Ilene Miller, Lisa Friedlander",Less than $1M,-0.1,"Mary Naylor, Hal Shear","Bethesda, Maryland, United States",
Create Real Estate,https://www.crunchbase.com/organization/create-io,"3D Technology, Information Technology, Mapping Services, Software, Software Engineering",Create is a next generation property database and 3D mapping platform.,4000000,USD,4000000,Seed,"60,575",2,https://www.linkedin.com/company/cre-t/,http://create.io/,"Edward Switzer, Stefan Martinovic",,-0.2,"Techstars, Techstars New York City Accelerator, Stefan Martinovic","Washington, District of Columbia, United States",
Accordion Health,https://www.crunchbase.com/organization/accordion-health,"Analytics, Big Data, Health Care, Information Technology, Machine Learning, Medical, SaaS",Accordion Health builds innovative data-driven platforms for value-based care.,1000000,USD,1000000,Seed,"60,676",2,https://www.linkedin.com/company/3778214,https://accordionhealth.com,"Joyce Ho, Sriram Vishwanath, Yubin Park",,-0.2,National Science Foundation,"Austin, Texas, United States",
RigPlenish,https://www.crunchbase.com/organization/rigplenish,"Data Center Automation, Emergency Medicine, Hospital, Software",RigPlenish makes software designed to reduce the amount of time paramedics spend documenting each ambulance run.,120000,USD,120000,Seed,"62,076",1,https://www.linkedin.com/company/rigplenish-inc-,http://www.rigplenish.com,"Nupur Mehta, Tejaswi Sagiraju",Less than $1M,1.7,Y Combinator,"Cupertino, California, United States",
Shovel Apps,https://www.crunchbase.com/organization/shovelapps,"Apps, E-Commerce, Mobile, Software",Shovel apps is a web platform that lets you create awesome e-commerce mobile applications for Android and iOS in just a few minutes.,650000,USD,650000,Seed,"62,357",1,http://www.linkedin.com/company/shovel-apps-inc-,http://www.shovelapps.com/,"Edward Villegas, Nahuel Candia, Nicolas Martinez Sala, Samuel Chalela Naffah",,0,,"San Jose, California, United States",
Howaboutsales,https://www.crunchbase.com/organization/howaboutsales,"CRM, Software",Howaboutsales was a software/consultancy company. As from 2017 the company and team transformed into Qollabi.,750000,EUR,840982,Seed,"63,759",2,,,"Frie Pétré, Stephan Stergiou",Less than $1M,-0.7,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",
Cupenya,https://www.crunchbase.com/organization/cupenya,"Analytics, Artificial Intelligence, B2B, Customer Service, Enterprise Software, Software",AI powered solution for next generation Customer Service,850000,USD,850000,Seed,"63,977",2,http://www.linkedin.com/company/3033310,http://www.cupenya.com,"Dominik Blattner, Elmar Weber",,-0.5,Rockstart,"Amsterdam, Noord-Holland, The Netherlands",
Innoverne,https://www.crunchbase.com/organization/innoverne,"E-Commerce, Internet, PaaS, SaaS",Innoverne was a SaaS commerce platform that delivered sustainable product-service and closed loop models.,1003900,USD,1003900,Seed,"64,598",4,http://www.linkedin.com/company/innoverne-limited,http://www.innoverne.com,Julian Thomas,,-0.1,,"Reading, Reading, United Kingdom",
CannaBuild,https://www.crunchbase.com/organization/cannabuild,"Cannabis, Legal, Software",CannaBuild is a digital support application that helps cannabis dispensaries ensure compliance & serve their patients better. -,255000,USD,255000,Seed,"64,890",2,https://www.linkedin.com/company/cannabuild,http://cannabuild.me,Zach Marburger,,1.7,Arcview Group,"Denver, Colorado, United States",
NUKERN,https://www.crunchbase.com/organization/nukern,"B2B, Billing, Cloud Infrastructure, Cloud Management, CRM, Customer Service, Enterprise Software, SaaS, Software, Web Hosting",Automated billing and provisioning platform for web hosts and agencies.,100000,USD,100000,Pre-Seed,"64,900",2,http://www.linkedin.com/company/nukern,https://www.nukern.com,Phil Rivard,,-0.3,"Techstars, Right Side Capital Management, Techstars Austin Accelerator","Montréal, Quebec, Canada",
WrkRiot,https://www.crunchbase.com/organization/1for-one,"Employment, Machine Learning, Natural Language Processing, SaaS, Search Engine, Text Analytics",Taking the search out of job search with a patent pending customized platform utilizing NLP and Machine Learning.,130000,USD,130000,Seed,"65,628",2,https://www.linkedin.com/company/7587861?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A7587861%2Cidx%3A1-1-1%2CtarId%3A1472321003182%2Ctas%3Ajobsonic,http://wrkriot.com,Isaac Choi,,-0.4,"Isaac Choi, Paul Kim","Santa Clara, California, United States",
Lexumo,https://www.crunchbase.com/organization/lexumo,"Cloud Security, Cyber Security, Enterprise Software, Security, Software",Cloud service that helps companies find security vulnerabilities in their open source code.,4890000,USD,4890000,Seed,"65,665",2,,https://lexumo.com/,"Brad Gaynor, Nathan Shnidman, Richard Carback",,-0.4,".406 Ventures, Accomplice, MIT Venture Mentoring Service (MIT VMS)","Cambridge, Massachusetts, United States",
Nanocloud Software,https://www.crunchbase.com/organization/nanocloud-software,"Cloud Computing, Cloud Data Services, Productivity Tools, SaaS, Software",Nanocloud Software helps companies and vendors transform applications into cloud-based solutions.,2000000,EUR,2254011,Seed,"66,956",1,https://www.linkedin.com/company/nanocloud,https://www.nanocloud.com/,"Dominique Rodrigues, Erfane Arwani",$1M to $10M,0.8,"Breega, Siparex Groupe","Paris, Ile-de-France, France",
Wantoo,https://www.crunchbase.com/organization/wantoo,"Apps, Internet, Software","Wantoo offers a cloud-based platform that enables businesses to capture, analyze, and act on feedback provided by their team or customers.",500000,USD,500000,Seed,"68,306",1,https://www.linkedin.com/company/wantoo,http://wantoo.io/,,Less than $1M,-0.3,,"Vancouver, British Columbia, Canada",
PFITR,https://www.crunchbase.com/organization/pfitr--llc,"Analytics, Software",The Kelly Blue Book of fixed income securities,100000,USD,100000,Seed,"68,707",8,,https://pfitr.com,Jim Koetting,,1.3,"SixThirty, FIS, Capital Innovators, UMB Banks, Missouri Technology Corporation","Little Rock, Arkansas, United States",
vertisense,https://www.crunchbase.com/organization/vertisense,"Hardware, Software",Vertisense develops sensor-based technological tools to assist individuals with monitoring their health.,,,,Seed,"69,014",3,https://www.linkedin.com/company/vertisense,http://www.vertisense.com,"Ben Biron, Jonathan Ofir, Max Koeppel",,-0.2,"Techstars, Sprint Accelerator, Bantam Funds","New York, New York, United States",
Unoceros,https://www.crunchbase.com/organization/unoceros,"Mobile, Software",Unoceros is a company that provides cellphone users with the ability to turn their cellphones into a computing network.,50000,USD,50000,Seed,"70,093",3,http://www.linkedin.com/company/unoceros,http://www.unoceros.com,"Brian Godsey, Devin Elliot",Less than $1M,1.9,"Social Starts, Moonshots Capital, 9Mile Labs, QueensBridge Venture Partners","Kirkland, Washington, United States",
RevSite,https://www.crunchbase.com/organization/revsite,"E-Commerce, Lead Generation, Software, Web Design",We can help you stand out in this mobile driven world by creating a stunning mobile-enabled website.,2000000,USD,2000000,Series A,"70,301",2,https://www.linkedin.com/company/9264380?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A1-1-1%2CtarId%3A1437655592873%2Ctas%3Arevsite.co,http://www.revsite.com/,Jacob Garlick,$1M to $10M,-0.2,,"Reston, Virginia, United States",
Weave Visual Analytics,https://www.crunchbase.com/organization/weave-visual-analytics,"Analytics, Data Visualization, Information Technology, Software, Training",Provider of high-performance data visualization and analytic tools,750000,USD,750000,Seed,"70,784",1,,http://iweave.com/,"Georges Grinstein, Howard Berke",,1.1,Breton Capital Management,"Lowell, Massachusetts, United States",
Numeos,https://www.crunchbase.com/organization/numeos,"B2B, Financial Services, FinTech, Marketplace","Fintech, open-banking, distribution",1200000,GBP,1584846,Seed,"71,421",2,,https://numeos.co.uk,Farid Sedjelmaci,,-0.4,,"London, England, United Kingdom",
Cabsolutely,https://www.crunchbase.com/organization/cabsolutely,"Mobile, Ride Sharing, SaaS, Transportation",Cabsolutely gives a tech upgrade for the taxi industry.,500000,USD,500000,Seed,"72,041",2,,http://www.cabsolutely.co/,"Andras Simon, Virag Reti",Less than $1M,0,"InCrowd Capital, MergeLane, Start Co.","Memphis, Tennessee, United States",
Quicklegal,https://www.crunchbase.com/organization/quicklegal,"E-Commerce, Legal, Mobile, Software","Quicklegal is a new platform that allows users to instantly video chat, audio call or private message an attorney anywhere in the nation.",,,,Seed,"72,901",3,,http://Quicklegal.com,Derek Bluford,,-0.1,500 Startups,"Sacramento, California, United States",
Iambiq,https://www.crunchbase.com/organization/iambiq,Software,Iambiq helps organizations read and process large amounts of text-based data usually handled by humans.,120000,USD,120000,Seed,"75,400",1,https://www.linkedin.com/company/iambiq-tech/,http://www.iambiqtech.com,"Anna Kazlauskas, Rosa Lin",,1.4,Y Combinator,"Washington, District of Columbia, United States",
Branch2,https://www.crunchbase.com/organization/branch2,"Health Care, Information Technology, Software",Branch2 builds apps that enhance well-being by connecting communities to evidence-based mindfulness practices.,396820,USD,396820,Seed,"75,456",4,http://www.linkedin.com/company/branch2,http://www.branch2.com,Reggie Luedtke,Less than $1M,-0.1,,"Middleton, Wisconsin, United States",
Bandbasher,https://www.crunchbase.com/organization/bandbasher,"Analytics, Business Development, Independent Music, Music, Music Education, Software","Bandbasher provides a platform to learn the industry, connect and collaborate with other artists, and get paid for your work.",150000,USD,150000,Seed,"75,606",3,https://www.linkedin.com/company/15241811/,https://bandbasher.com,DeCarlos Garrison,Less than $1M,0,,"Orlando, Florida, United States",
Catalog,https://www.crunchbase.com/organization/catalog,"Advertising, Marketing, Software",Catalog makes software tools for production teams and commercial content for consumer brands.,1500000,USD,1500000,Seed,"76,485",2,https://www.linkedin.com/company/catalogofficial/,https://www.catalog.cc,"Jacobo Lumbreras, Patrick Ip",,-0.1,"Techstars, Moonshots Capital, Luma Launch, Techstars Los Angeles Accelerator","Los Angeles, California, United States",
TrackerSense,https://www.crunchbase.com/organization/trackersense-ltd,"Logistics, Software, Supply Chain Management",TrackerSense develops and deploys parcel delivery and asset tracking technology to drive supply chain efficiency worldwide.,160000,GBP,195857,Seed,"78,749",1,https://www.linkedin.com/company/trackersense,http://www.trackersense.com,Wayne Soutter,,-0.1,,"Shinfield, Reading, United Kingdom",
CloakHire,https://www.crunchbase.com/organization/cloakhire,SaaS,"CloakHire specializes in the fields of networking, split fee contracts, social networking, and executive search.",1000000,USD,1000000,Seed,"79,004",2,https://www.linkedin.com/company/cloakhire,https://cloakhire.com/,"Brandon Malson, Max Miller, Sharon McILnay, Tom Miller",,-0.4,"Matias Energy, LLC","Troy, Michigan, United States",
Deckard,https://www.crunchbase.com/organization/deckard,"Artificial Intelligence, Developer Tools, Machine Learning, Natural Language Processing, Software",Deckard is an AI engine that learns about the structure and performance of a software development team.,28300,USD,28300,Seed,"79,449",1,https://www.linkedin.com/company/deckard---a.i.-for-coding/,http://deckard.ai,"Aurélien Nicolas, Lele Canfora",,-0.1,"Speedinvest, Plug and Play, Axel Springer Plug and Play Accelerator","Berlin, Berlin, Germany",
Gazoo,https://www.crunchbase.com/organization/gazoo-2,"Hardware, Software",Gazoo provides hardware and software that adds hundreds of compute cores to industry standard servers.,1000000,USD,1000000,Series A,"79,835",2,https://www.linkedin.com/company/gazoo,http://www.gazoohpc.com/,"Chris McDonald, Glenn Knepp, Jeff McDougall, Scott Morton",Less than $1M,0,SeedSumo,"Bryan, Texas, United States",
Parabola,https://www.crunchbase.com/organization/parabola,"Financial Services, FinTech, Mobile Apps, SaaS",Parabola is a SaaS for financial advisors. We use gamification to automatically track a user's progress against financial goals.,75000,USD,75000,Seed,"79,935",1,https://www.linkedin.com/company/parabola-llc,https://www.myparabola.com,Joshua Hatter,Less than $1M,0,,"Charleston, South Carolina, United States",
eager-academy-inc,https://www.crunchbase.com/organization/eager-academy-inc,"EdTech, Education, Information Technology, Software","Software technology company focusing on K-12 academic performance improvement through corporate reward based, positive operant conditioning.",85000,USD,85000,Pre-Seed,"79,966",1,https://www.linkedin.com/in/chris-hanson-4b161379,http://eagertoachieve.com/,"Chris Hanson, Chris Nicholas, Rahul Basu",,3.5,,"Philadelphia, Pennsylvania, United States",
HQ,https://www.crunchbase.com/organization/hq-3,"Finance, Payments, Software",Run your business from your phone.,150000,GBP,233801,Seed,"80,432",1,https://www.linkedin.com/company/hq-,http://www.hqtheapp.com,"Dan Bruce, Ivo Weevers",,-0.5,Ascension Ventures,"Highbury, Islington, United Kingdom",
Feather,https://www.crunchbase.com/organization/care-current,"Elder Care, SaaS, Software",Platform for In-Home Senior Care,250000,USD,250000,Seed,"80,436",2,,http://www.joinfeather.com,"Christopher Williams, Evan Black, Nicholas Fuller, Rachel Fuller",,-0.3,"Innova Memphis, Hayseed Ventures","Fayetteville, Arkansas, United States",
AdaptiveWell Technologies,https://www.crunchbase.com/organization/adaptivewell-technologies,"Analytics, Big Data, Enterprise Software, Oil and Gas, Software","AdaptiveWell solves a multi-Billion Dollar, Big Data problem for Oil & Gas operators, resulting in capital efficiency and increased profits.",125000,USD,125000,Seed,"81,585",2,https://www.linkedin.com/company/adaptivewell-technologies,http://www.adaptivewell.com,Benjamin Decio,$1M to $10M,-0.1,Frost Data Capital,"San Juan Capistrano, California, United States",
Chameleon Ad,https://www.crunchbase.com/organization/chameleon-ad,"Ad Exchange, Advertising, Internet, SaaS",Chameleon is a native advertising software headquartered in Dublin.,80000,EUR,88135,Seed,"82,751",1,https://www.linkedin.com/company/chameleon-ad,http://chameleon.ad,Ruben Amoruso,Less than $1M,-0.2,,"Dublin, Dublin, Ireland",
StyleWhere,https://www.crunchbase.com/organization/stylewhere,"Analytics, Sensor, Software","In-store shopping cart abandonment analytics. (Acquired, Smartrac N.V.)",190000,USD,190000,Seed,"82,932",1,,http://stylewhere.com,,,3.7,,"Inglewood, California, United States",
FUTIMMO,https://www.crunchbase.com/organization/futimmo,"Artificial Intelligence, E-Commerce, E-Commerce Platforms, Machine Learning, SaaS, Software",Ecommerce Platform built with AI and machine learning,60000,USD,60000,Seed,"83,693",1,https://www.linkedin.com/company/Futimmo,https://futimmo.com/,Matt Stefanik,,-0.3,,"Wesley Chapel, Florida, United States",
TechNearshore,https://www.crunchbase.com/organization/technearshore,"Information Technology, Internet, Software, Web Development",Outsourced Software Development Company,1000000,USD,1000000,Series A,"83,949",1,https://www.linkedin.com/company/tech-nearshore,http://www.technearshore.com/,Jim Ryan,Less than $1M,-0.1,,"Boca Raton, Florida, United States",
Zero Locus,https://www.crunchbase.com/organization/zero-locus,"Analytics, Computer, Finance, Insurance, Retail, Software",Zero Locus Inc. develops software systems to perform advanced analytics for various data sets. It serves customers in the areas of,200000,USD,200000,Seed,"85,041",2,,http://zerolocus.com,Art Mellor,,0.7,"gener8tor, American Family Ventures","Milwaukee, Wisconsin, United States",
DUUL,https://www.crunchbase.com/organization/duul,"Social Media, Software, Video Games",A platform that allows every level of video gamer to win money & prizes by playing eSports competitions against players of their same skill.,400000,USD,400000,Seed,"85,750",2,,https://duulnow.com,"Aaron Pantoja, Gabriel Kruse",,-0.2,,"Tempe, Arizona, United States",
BarFrog,https://www.crunchbase.com/organization/barfrog,"FinTech, Hospitality, Mobile Payments, Software",BarFrog is a mobile payment app that automatically opens and closes a user's bar tab simply by entering or exiting the bar.,321000,USD,321000,Seed,"86,122",1,https://www.linkedin.com/company/barfrog,https://barfrog.com,Anthony Milici,,-0.5,,"Charleston, South Carolina, United States",
AppBugs,https://www.crunchbase.com/organization/app-bugs,"Apps, Computer, Software","AppBugs, Inc. helps developers find security bugs in their apps and mobile app users identify the apps with security bugs on their devices.",700000,USD,700000,Seed,"86,301",1,https://www.linkedin.com/company/appbugs,https://www.appbugs.co/home/,"Rui Wang, Stan Bounev",Less than $1M,-0.2,,"Redmond, Washington, United States",
MobiDart,https://www.crunchbase.com/organization/mobidart,"Ad Network, Advertising Platforms, Mobile, Software","A mobile ad platform called the T.I.T.A.N. Enginge, a Technologically Intuitive Targeted Ad Network capable of realtime intuitive delivery.",669000,USD,669000,Seed,"86,650",1,https://www.linkedin.com/company/2944664,http://www.mobidart.com/,Frank Rice,$1M to $10M,-0.1,,"Thousand Oaks, California, United States",
Beegit,https://www.crunchbase.com/organization/beegit,"Advertising, Content, Social Media, Software",Beegit's platform helps teams kickstart their content marketing efforts.,100000,USD,100000,Seed,"87,077",3,http://www.linkedin.com/company/5034523,http://www.beegit.com,"JD Eaton, Kristopher Ciccarello, Mike Cottrill",Less than $1M,2.2,Innovation Fund Northeast Ohio,"Cleveland, Ohio, United States",
Qvolve,https://www.crunchbase.com/organization/qvolve,"Medical, Property Management, Software",Qvolve creates software solutions for regulated industries. Qvolve's solutions are created with all levels of an organization in mind.,140000,USD,140000,Seed,"87,169",2,http://www.linkedin.com/company/qvolve-llc,http://www.qvolve.net/,Alan Radomsky,$1M to $10M,0.4,,"Kalamazoo, Michigan, United States",
Skaffl,https://www.crunchbase.com/organization/skaffl,"Computer, Mobile Apps, Software",Comprehensive workflow for tablet classrooms,100000,USD,100000,Seed,"87,583",2,http://www.linkedin.com/company/skaffl-llc,http://www.skaffl.com,"Angela Moramarco, Matt Smollinger, Michael Hanssen, Rita Chesterton",,-0.1,"LearnLaunch Accelerator, Ben Franklin Technology Partners of Northeastern Pennsylvania","Bethlehem, Pennsylvania, United States",
QponQrush - Facebook meets Groupon,https://www.crunchbase.com/organization/qponqrush,"Coupons, Digital Media, E-Commerce, Marketing, Mobile Advertising, Predictive Analytics, Retail Technology, SaaS, Social Media Marketing",MarTech Platform matching Marketers with their Millennial Shoppers using Predictive Analytics.,,,,Series A,"87,855",2,https://www.linkedin.com/company/digitalqpon-inc-,http://www.qponqrush.com,"Paul Benevich, Paul Taylor",$1M to $10M,-0.6,,"Newport Beach, California, United States",
Remedify,https://www.crunchbase.com/organization/remedify,"Hardware, Software",Remedify is a database and iPad app that aids technicians in cleaning and sterilizing reusable surgical instruments.,,,,Seed,"88,029",2,https://www.linkedin.com/company/remedify,http://remedify.com,Abe Music,,-0.2,"HCA, Healthbox, BlueCross BlueShield Venture Partners, Sandbox Industries, InCrowd Capital","Nashville, Tennessee, United States",
Kandid,https://www.crunchbase.com/organization/kandid,"Apps, Mobile, Software",Kandid is an application that enables its users to create private groups with friends and share their experiences in real time.,1400000,USD,1400000,Seed,"88,297",1,,http://kandid.co,Janum Trivedi,,-0.2,,"San Francisco, California, United States",
Firebird,https://www.crunchbase.com/organization/catapult,"Artificial Intelligence, Business Intelligence, Information Technology, Machine Learning, Quantum Computing, Software","Firebird is a quantum machine intelligence company, building machine learning software for the most advanced computers on the planet.",65000,CAD,51972,Seed,"88,483",1,,,"Alexander Somjen, Colin J.E. Lupton, Jonathan Holtby, Stephen Lee",,0,,"Toronto, Ontario, Canada",
Gizlo,https://www.crunchbase.com/organization/gizlo,"Crowdsourcing, Retail Technology, SaaS","Gizlo is a platform for businesses to connect and collaborate with mobile users around the world, gaining valuable insights and opinions,",770000,USD,770000,Seed,"88,538",1,https://www.linkedin.com/company/5040119,http://www.gizlo.com/,"Eemil Kraft, Eetu Raudas, Jussi Kokkala, Kalle Ek, Niko Hirvonen",,-0.2,Visionplus,"Helsinki, Southern Finland, Finland",
Cymplar,https://www.crunchbase.com/organization/cymplar,"Information Technology, SaaS, Small and Medium Businesses","Cymplar leads with flexible interaction and tips, constantly improving and increasing your chances of success.",1200000,USD,1200000,Series A,"88,560",2,http://www.linkedin.com/company/cymplar,http://cymplar.com/,Oscar Omegna,,-0.2,,"Melbourne, Victoria, Australia",
Mamabear,https://www.crunchbase.com/organization/mamabear,"Computer, Information Technology, Software",Mamabear is a provider of configured laptop computers.,120000,USD,120000,Seed,"88,873",1,,https://mamabear.io/,Ian Atha,,-0.1,Y Combinator,"San Francisco, California, United States",
N/A,https://www.crunchbase.com/organization/open-space-innovations,"Apps, Commercial Real Estate, Developer Platform, Mobile Apps, Property Management, Real Estate, Rental Property, Software, Web Apps",None,100000,USD,100000,Seed,"88,971",2,,,"A L, Lance Green",,-0.6,,"Denver, Colorado, United States",
EVENT2,https://www.crunchbase.com/organization/event2,"B2B, Event Management, SaaS, Software, Wedding",Increasing revenue and driving efficiency across the event planning industry.,100000,USD,100000,Seed,"89,630",1,https://www.linkedin.com/company/event2/,http://event2.io,"Fanuel Dewever, Mia Shark",,-0.3,,"Honolulu, Hawaii, United States",
LUCAN Technologies,https://www.crunchbase.com/organization/lucan-technologies,"Electronics, Manufacturing, Software",Lucan Technologies is a technology company that designs and manufactures modular touch screen PCs and tablets.,70000,USD,70000,Seed,"89,812",1,,http://www.lucantech.com/,Murat Erdogan,,0.6,,"Greeley, Colorado, United States",
Satiemployee,https://www.crunchbase.com/organization/satiemployee,"Information Technology, Internet, Software","Satiemployee is a web app developed on blockchain for small, medium, and large companies.",300000,USD,300000,Seed,"90,556",1,https://www.linkedin.com/company/satiemployee,https://satiemployee.com,"Alessandro Raffelini, Cristian Fresolone, Stefano Mascheroni",,2.5,,"London, England, United Kingdom",
Real Tech Innovations (RTI)-CLOSED,https://www.crunchbase.com/organization/real-tech-innovations-rti,"Cloud Data Services, Information Technology, IT Infrastructure, SaaS, Small and Medium Businesses",A MSSP (Managed Software & Sevice Provider) based in beautiful Colorado. Real Tech Innovations provides white glove I.T. support & Software.,1000,USD,1000,Seed,"91,263",1,,,Tristan Poulsen,,-0.1,,"Broomfield, Colorado, United States",
Agile Aberration Group Corporation,https://www.crunchbase.com/organization/aag-innovation-labs,"Asset Management, Consumer Software, Digital Marketing, Digital Media, Innovation Management, Management Consulting, Medical Device, Sales Automation, Software",Management Consulting,50000,USD,50000,Seed,"92,157",1,https://www.linkedin.com/company/18251596/,,Larry Bell,,-0.5,,"Beverly Hills, California, United States",
AlertSquad,https://www.crunchbase.com/organization/alertsquad,"iOS, Mobile Apps, Software","AlertSquad is a mobile app that enables users to alert their friends, family, and authorities in case of GPS location problem.",400000,USD,400000,Seed,"92,428",1,,https://www.alertsquad.net,Kevin Quinn,,1.3,,"Meridian, Idaho, United States",
