IPO Status,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders,Estimated Revenue Range,Trend Score (90 Days),Top 5 Investors
Private,SalesRight,https://www.crunchbase.com/organization/salesright,"B2B, Price Comparison, SaaS, Sales, Software","Halifax, Nova Scotia, Canada",SalesRight helps SaaS sales teams close deals faster through Interactive Live Quotes.,600000,USD,600000,Seed,"27,049",2,https://www.linkedin.com/company/salesright/,https://www.salesright.co,"Bill Wilson, Greg Toner, Taylor Bond",$1M to $10M,-1.9,"Concrete Ventures, Island Capital Partners"
Private,True-Tickets,https://www.crunchbase.com/organization/true-tickets,"B2B, Blockchain, Information Technology, PaaS, Ticketing","Boston, Massachusetts, United States","A secure contactless digital ticket delivery service that aims to make buying, selling and transferring live event tickets simple and safe.",975000,USD,975000,Pre-Seed,"28,479",4,https://www.linkedin.com/company/27226152/,https://www.true-tickets.com,"David Piskovich, Matt Zarracina, Steven Dobesh",Less than $1M,-0.5,
Private,Till Financial,https://www.crunchbase.com/organization/till-financial,"B2B, Financial Services, FinTech, Information Services","Boston, Massachusetts, United States",Till Financial is a developer of a digital financial platform intended to help kids monitor their spendings.,,,,Seed,"29,193",2,https://www.linkedin.com/company/tillfinancial/,https://www.tillfinancial.io/,Taylor Burton,,9.1,MassChallenge
Private,CorTexter,https://www.crunchbase.com/organization/cortexter,"Artificial Intelligence, B2B, Human Resources, Machine Learning, Natural Language Processing, Recruiting, SaaS, Software, Subscription Service","Rotterdam, Zuid-Holland, The Netherlands","B2B, SaaS, Talent Acquisition System, Subscription, HR Tech, Artificial Intelligence, Natural Language Processing",,EUR,,Seed,"30,377",4,https://www.linkedin.com/company/cortexter/,https://www.cortexter.com,"Erik Tromp, Miguel van Bodegom",,8.8,New Value Department
Private,Queue,https://www.crunchbase.com/organization/queue-gg,"B2B, Collaboration, Consumer, Internet","San Francisco, California, United States",Queue makes running an online business easy for creative professionals by letting them get feedback on their work in real time.,100000,USD,100000,Seed,"30,456",1,https://www.linkedin.com/company/queuegg/,https://queue.gg,"Jean-Philippe Gagnon, Masud Hossain",,2.4,Backend Capital
Private,GroCurv,https://www.crunchbase.com/organization/grocurv,"B2B, Consulting, Information Technology, Marketing, Small and Medium Businesses, Trading Platform","Gurgaon, Haryana, India",GroCurv is India's First B2B Services Procurement Platform.,,,,Seed,"30,617",2,https://www.linkedin.com/company/grocurv/,https://grocurv.com,"Venkatesh Rangachari, Vipul Gupta",,4.2,Unicorn Investments
Private,Flex Finance,https://www.crunchbase.com/organization/flex-finance,"B2B, Financial Services, FinTech, Mobile Payments","Lagos, Lagos, Nigeria",Simple expense management solution for businesses,80000,USD,80000,Grant,"30,943",2,,https://www.flexfinance.ai,,,4.9,"Catalyst Fund, Accion Venture Lab, The MasterCard Foundation"
Private,Eze,https://www.crunchbase.com/organization/eze,"B2B, Electronics, Software, Stock Exchanges","San Francisco, California, United States",Eze is a commodities exchange for electronics allowing buyers & sellers to trade in wholesale quantities with real-time market data.,150000,USD,150000,Pre-Seed,"32,748",1,https://www.linkedin.com/company/ezewholesale,https://www.ezewholesale.com/,"David Iya, Josh Nzewi",,-0.7,Y Combinator
Private,StoryBolt,https://www.crunchbase.com/organization/storybolt,"B2B, Marketplace","Chicago, Illinois, United States",The marketplace of storytellers for employee engagement solutions,350000,USD,350000,Seed,"33,172",1,https://www.linkedin.com/company/10355595/,https://storybolt.com/,"Babak Shahmansouri, Nassim Abdi",Less than $1M,5.4,"Elevate Ventures, Kamran Elahian"
Private,FOODZA,https://www.crunchbase.com/organization/foodza,"Agriculture, AgTech, B2B, Farmers Market, Farming, Food and Beverage, Supply Chain Management, Trading Platform","Moscow, Moscow City, Russian Federation",B2B platform that connects farmers directly with SME retailers and restaurants through its digital platform and supply chain solution,,,,Seed,"33,488",2,https://www.linkedin.com/company/foodza/,https://foodza.ru,Vladimir Kholyaznikov,Less than $1M,-0.2,"Mail.Ru Group, FJ Labs, Larix"
Private,iFarmer,https://www.crunchbase.com/organization/ifarmer,"AgTech, B2B, FinTech, Supply Chain Management","Dhaka, Dhaka, Bangladesh","iFarmer enables individuals and institutions to finance farming and earn a return, while also connecting farmers to the markets.",450000,USD,450000,Seed,"34,133",3,https://www.linkedin.com/company/ifarmerasia/,https://www.ifarmer.asia/,"Fahad Ifaz, Jamil Akbar",$1M to $10M,0.9,"Accelerating Asia, UNCDF"
Private,Glamera,https://www.crunchbase.com/organization/glamera,"B2B, B2C, Beauty, E-Commerce, E-Commerce Platforms, Fashion, Fitness, Mobile Apps","Riyadh, Ar Riyad, Saudi Arabia","Glamera, is the first mobile application, to book an appointment for health and beauty services, from more than 50 places in MENA.",250000,USD,250000,Seed,"36,044",1,https://www.linkedin.com/company/glameraeg/about/,https://glamera.com/home,"Mohamed Hegazy, Omar Ahmed",,-0.5,
Private,Neurobotx,https://www.crunchbase.com/organization/neurobotx,"Aerospace, Artificial Intelligence, Automotive, Autonomous Vehicles, B2B, Computer Vision, Geospatial, Machine Learning, Neuroscience","London, England, United Kingdom","NeurobotX is a combine state-of-the-art neuroscience, AI and robotics in order to create spatial intelligence for autonomous drones & cars.",10000,CHF,10072,Grant,"36,341",2,https://www.linkedin.com/company/neurobotx/,https://neurobotx.org,Diana Deca,,-0.2,Venture Kick
Private,Consorto,https://www.crunchbase.com/organization/consorto,"B2B, Commercial Real Estate, Marketplace, Real Estate, Real Estate Investment","Tallinn, Harjumaa, Estonia",Marketplace for European commercial real estate,25000,EUR,27811,Seed,"37,301",2,https://www.linkedin.com/company/13213392/,http://www.consorto.com,Philip Verzun,Less than $1M,-0.6,"Startup Wise Guys, Zenith Family Office"
Private,Auxbus,https://www.crunchbase.com/organization/podcraft,"Audio, B2B, Digital Media, Internet, Podcast","Asheville, North Carolina, United States",The fastest professional podcasts. No audio experience necessary.,92000,USD,92000,Pre-Seed,"37,968",3,https://www.linkedin.com/company/auxbus,https://auxbus.com,Dan Radin,,2.1,"Ideaship, Angel Capital Group, High Country Impact Fund, Marco Massini"
Private,Indivd Ai,https://www.crunchbase.com/organization/indivd-ai,"Artificial Intelligence, B2B, Enterprise Software, Human Resources, Internet of Things, Machine Learning, Retail Technology, SaaS","Sundsvall, Vasternorrlands Lan, Sweden",A patent-pending AI solution — The first solution in the world that can get a deep understanding of all store visitors.,300000,USD,300000,Seed,"38,684",1,https://www.linkedin.com/company/indivd/,http://www.indivd.com,,,-0.2,Martin Roos
Private,COCOTEL,https://www.crunchbase.com/organization/cocotel,"B2B, B2C, Hospitality, Hotel","Pasig, Rizal, Philippines",COCOTEL is a tech-hotel brand and aggregator of hotels located at getaway destinations in the Philippines and soon the entire Southeast Asia,20000,USD,20000,Seed,"38,878",2,,https://cocotel.com.ph/,"Daimler Villena, Rafael Jouwena, Reginald Go",,-0.2,IdeaSpace Foundation
Private,HANDSOME APP,https://www.crunchbase.com/organization/handsomeapp,"B2B, Beauty, Computer, Marketplace, Mobile Apps, Professional Networking","Austin, Texas, United States",Handsome App a career and education marketplace for the beauty industry.,131000,USD,131000,Pre-Seed,"39,442",3,https://www.linkedin.com/company/handsomeapp,https://www.handsomeapp.com/,"April Dominguez, Nikki Dominguez",,3.7,Sputnik ATX
Private,Nautix Technologies,https://www.crunchbase.com/organization/nautix-technologies,"B2B, Enterprise Software, Marine Transportation, SaaS","Copenhagen, Hovedstaden, Denmark",Nautix Technologies is building a game-changing B2B SaaS work management system for the Maritime industry.,150000,USD,150000,Pre-Seed,"39,826",2,https://www.linkedin.com/company/nautix-technologies,https://www.nautixtech.com,"Shantanu Mishra, Tarang Valecha, Vishwas Tomar",,-1,"Katapult Ocean, Next Logistics Accelerator"
Private,Sports Sonar,https://www.crunchbase.com/organization/sports-sonar,B2B,"San Antonio, Texas, United States",Sports Sonar is a sports-tech startup.,400000,USD,400000,Seed,"39,895",1,https://www.linkedin.com/company/sports-sonar/,https://sportssonar.com/,"Allan Matarrita, Nick Hayward",,2.1,
Private,Torpago,https://www.crunchbase.com/organization/torpago,"B2B, Employee Benefits, Financial Services, FinTech, Software","San Francisco, California, United States",Torpago is a financial technology company that provides corporate cards equipped with spend management software.,218500,USD,218500,Seed,"40,206",1,https://www.linkedin.com/company/40971191,http://www.torpago.com,Brent Jackson,,0.6,
Private,ToDesktop,https://www.crunchbase.com/organization/todesktop,"B2B, Computer, Desktop Apps, Software, Web Apps","Cork, Cork, Ireland",ToDesktop enables web businesses to convert their web app into a desktop app.,,,,Seed,"41,883",2,https://www.linkedin.com/company/todesktop/,https://www.todesktop.com,Dave Jeffery,,-1,Y Combinator
Private,Osano,https://www.crunchbase.com/organization/osano,"B2B, Privacy, SaaS","Austin, Texas, United States",Osano is an easy-to-use data privacy platform that instantly helps a website become compliant with laws such as GDPR and CCPA.,5400000,USD,5400000,Series A,"42,599",3,https://www.linkedin.com/company/osano,https://www.osano.com,"Arlo Gilbert, Scott Hertel",$50M to $100M,0.1,"Social Starts, Next Coast Ventures, LiveOak Venture Partners, Capital Factory, Rony Kahan"
Private,MorphL,https://www.crunchbase.com/organization/morphl,"Artificial Intelligence, B2B, E-Commerce, Machine Learning, Marketing Automation, Personalization, Retail Technology","Bucarest, Bucuresti, Romania",MorphL specializes in developing digital products and services by democratizing AI.,120000,USD,120000,Pre-Seed,"43,066",1,https://www.linkedin.com/company/morphl/,https://morphl.io,Ciprian Borodescu,,-0.1,"Techstars, Techstars Montreal AI Accelerator"
Private,Abaxto,https://www.crunchbase.com/organization/abaxto,"B2B, Brand Marketing, Business Intelligence, E-Commerce, E-Commerce Platforms, Information Technology, Marketing, SaaS, Sales Automation","San Juan, NA - Puerto Rico, Puerto Rico",Abaxto is a technological platform that specializes in helping the growth of small businesses.,40000,USD,40000,Grant,"43,213",3,https://www.linkedin.com/company/abaxto/,http://www.abaxto.com,"Beatrice Dellepiane, Emilio Navarro",,-2.7,"Start-Up Chile, Parallel18, Startup Peru"
Private,Doctorly,https://www.crunchbase.com/organization/doctorly,"B2B, B2C, Health Care, Medical, mHealth, Personal Health, SaaS","Berlin, Berlin, Germany","Doctorly is a digital-first, cloud powered, fully centralised, practice management platform for doctors.",,,,Convertible Note,"43,767",3,https://www.linkedin.com/company/doctorly/,http://www.doctorly.de,"Anna von Stackelberg, Archil Eristavi, Nicklas Teicke, Samir El-Alami",Less than $1M,4.1,"Seedcamp, Speedinvest, Target Global, Calm/Storm Ventures, Plug and Play"
Private,Gearflow,https://www.crunchbase.com/organization/gearflow,"B2B, Construction, E-Commerce, Internet, Marketplace","Chicago, Illinois, United States","We are a construction equipment and parts marketplace of dealers, OEMs, contractors, and parts suppliers improving job sites across America.",1600000,USD,1600000,Seed,"44,269",1,https://www.linkedin.com/company/gearflow-com,https://www.gearflow.com/,"Benjamin Preston, Luke Powers",,-0.4,"Chicago Early Growth Ventures (CEGV), Soren Oberg, Annabelle, Seth Lawry, Cindy Lawry"
Private,Ecomate,https://www.crunchbase.com/organization/ecomate,"B2B, Enterprise Software, Software, Sustainability","Milan, Lombardia, Italy",The ESG Rating platform for every company,140000,EUR,155320,Pre-Seed,"44,694",3,https://www.linkedin.com/company/ecomate,https://www.ecomate.eu,"Adelio Bollini, Alan Gallicchio, Alessandro Colosi, Emil von Abranyi, Marco Sarti, Maurizio Mesenzani, Silvia Paganoni, Vincenzo D'Abramo",Less than $1M,3.9,"Adelio Bollini, Vincenzo D'Abramo"
Private,Jamborow,https://www.crunchbase.com/organization/jamborow,"B2B, Blockchain, Financial Services","Liberia, Guanacaste, Costa Rica",Jamborow is a B2B AI and Bloackchain driven fintech platform focused on financial inclusion and grasroot empowerment.,400000,USD,400000,Seed,"45,437",1,https://uk.linkedin.com/company/jamborow-ltd,https://jamborow.com/,,,9.7,
Private,Picogrid,https://www.crunchbase.com/organization/picogrid,"B2B, Communications Infrastructure, Industrial, Satellite Communication","Livermore, California, United States",The connective tissue of the remote world,40000,USD,40000,Pre-Seed,"46,386",1,https://www.linkedin.com/company/picogrid,https://picogrid.io,Zane Mountcastle,,-0.1,
Private,Rockpapr,https://www.crunchbase.com/organization/rockpapr,"B2B, Business Intelligence, FinTech, Information Technology, Mobile Payments, Payments, Software, Subscription Service","New York, New York, United States",Rockpapr offers corporate payment sources and helps to set spend control limits to create virtual and physical credit cards.,250000,USD,250000,Seed,"46,435",1,https://www.linkedin.com/company/rockpapr/,https://www.rockpapr.com,Aaron Wiernik,,0.6,
Private,Via Delivery,https://www.crunchbase.com/organization/via-delivery,"B2B, E-Commerce, IT Infrastructure, Logistics, Retail","Claymont, Delaware, United States",A platform to make offline retail - pick points for e-commerce,60000,USD,60000,Pre-Seed,"46,445",2,https://www.linkedin.com/company/viadelivery/,https://via.delivery/,,,3.6,
Private,DogDrop,https://www.crunchbase.com/organization/dogdrop,"B2B, Pet, Service Industry","Los Angeles, California, United States",DogDrop is a science portfolio company and venture-backed start-up building the WeWork of dog care.,300000,USD,300000,Debt Financing,"48,227",1,https://www.linkedin.com/company/dogdrop/,https://www.dogdrop.co/,"Greer Wilk, Shaina Denny",,4.5,
Private,ComDocks,https://www.crunchbase.com/organization/comdocks,"B2B, Information Technology, Recruiting, Sales, Software","Hamburg, Hamburg, Germany","ComDocks is finally adding the human touch to digital B2B sales, by connecting suppliers with trusted Sales Freelancers worldwide.",75000,EUR,82880,Pre-Seed,"49,100",1,https://www.linkedin.com/company/comdocks/,https://comdocks.com/,Michael Zittermann,,-0.3,IFB Innovationsstarter
Private,Karbook,https://www.crunchbase.com/organization/karbook,"Automotive, B2B, CRM, SaaS","Puebla, Puebla, Mexico","A cloud-based management tool for auto repair shops, to potentialize their growth and customer relationships.",,,,Seed,"49,589",3,https://www.linkedin.com/company/18039680/admin/,https://karbook.com,"Aaron Koivunen, Adriana Carmona Beltran",,4,
Private,Alerzo,https://www.crunchbase.com/organization/alerzo,"B2B, E-Commerce, Internet, Logistics, Mobile Payments, Retail","Ibadan, Oyo, Nigeria",Alerzo digitizes Africa's informal retail supply chain,25000,USD,25000,Pre-Seed,"50,169",1,https://www.linkedin.com/company/10549237,http://www.alerzo.com,Adewale Opaleye,,3.7,The Baobab Network
Private,Kedeon,https://www.crunchbase.com/organization/kedeon,"B2B, Food Delivery, Information Technology, Internet of Things, Supply Chain Management","Riga, Riga, Latvia","Kedeon makes the food and grocery delivery more secure, transparent and trusted.",50000,EUR,55467,Grant,"51,049",2,https://www.linkedin.com/company/kedeon,https://kedeon.com/,"Kristaps Mikasenoks, Reinis Skorovs, Ronalds Sovas",,-0.5,Overkill Ventures
Private,TaxiONE,https://www.crunchbase.com/organization/taxione-82ab,"B2B, B2C, Information Technology, Taxi Service, Transportation, Travel","Sankt Petersburg, Saint Petersburg City, Russian Federation",TaxiOne is a taxi booking service that combines all taxi services in the world in one application.,700000,USD,700000,Seed,"51,962",2,https://www.linkedin.com/company/tax1one/,https://tax1one.com/,"Pavel Tsyganov, Sergey Alekseev",Less than $1M,-0.8,
Private,SAYM,https://www.crunchbase.com/organization/saym,"Apps, B2B, B2C, Human Resources, Mobile Apps, Software","Aachen, Nordrhein-Westfalen, Germany",The SAYM platform for swarm mobility defines the next generation of carpooling.,36000,EUR,38989,Grant,"53,070",2,https://www.linkedin.com/company/saym/,https://www.saym.io/,"Benjamin Dörries, Daniel Bogdoll, Philipp Uhl, Torben Flatemersch",,-0.1,"EXIST, Gründerstipendium.NRW"
Private,DocQ,https://www.crunchbase.com/organization/docq,"B2B, Consulting, Document Management, SaaS, Software","Pahoa, Hawaii, United States",DocQ is a SaaS contract lifecycle management. It auto-populates contract templates from any source.,58333,USD,58333,Venture - Series Unknown,"53,214",1,https://www.linkedin.com/company/docq-app,https://docq.app,"Anuj Sehgal, Jason Kadarusman",,8.5,"Boomtown Accelerators, Right Side Capital Management"
Private,RoboSelf,https://www.crunchbase.com/organization/roboself,B2B,"Bucharest, Bucuresti, Romania",Robotic Personal Assistants for Small and Medium Businesses,200000,EUR,222562,Seed,"53,539",1,http://linkedin.com/roboself,http://roboself.com,Răzvan Dinu,,1,"Early Game Ventures, Vlad Ionescu"
Private,Firstbase,https://www.crunchbase.com/organization/firstbasehq,"B2B, Virtual Workforce","New York, New York, United States",The physical OS for remote teams,,,,Pre-Seed,"53,582",3,https://www.linkedin.com/company/FirstbaseHQ,https://www.FirstbaseHQ.com,"Chris Herd, Trey Bastian",,3.1,"Acceleprise, Right Side Capital Management, Backend Capital"
Private,Eduro,https://www.crunchbase.com/organization/eduro-ai,"B2B, Industrial Automation, Internet, Internet of Things, Marketplace, Predictive Analytics, SaaS, Software","Toronto, Ontario, Canada",Eduro is building the digital infrastructure to connect manufacturing supply chains,25000,CAD,19020,Pre-Seed,"54,465",1,https://www.linkedin.com/company/eduro,https://www.eduro.ai,"Akshay Vishwakarma, Gibran Kichlu",,2.8,NEXT Canada
Private,Bijak,https://www.crunchbase.com/organization/bijak,"Agriculture, AgTech, Apps, B2B, Financial Services","Haryana, Haryana, India",Bijak is a developer of B2B platform for agricultural commodities positioned towards MSME buyers and sellers,12000000,USD,12000000,Series A,"54,916",2,https://in.linkedin.com/company/bijakapp,https://www.bijak.in/,"Daya Rai, Jitender Bedwal, Mahesh Jakhotia, Nikhil Tripathi, Nukul Upadhye",,-0.1,"Omidyar Network, RTP Global, Surge, Better Capital, Omnivore"
Private,beeBlum,https://www.crunchbase.com/organization/beeblum,"Apps, B2B, Collaboration, Intelligent Systems, Mobile Apps, Social, Social Network, Software","Wiesloch, Baden-Wurttemberg, Germany",Particularly simple and engaging digital information exchange for collaborative decision-making.,400000,EUR,439188,Pre-Seed,"55,689",1,https://www.linkedin.com/company/14793954/,https://www.beeblum.com,Sven Zech,,2.9,
Private,Cuvée Privée,https://www.crunchbase.com/organization/cuvée-privée,"B2B, B2C, E-Commerce, Gift, Wine And Spirits","Paris, Ile-de-France, France",Cuvée Privée allows wine lovers to adopt vines from exceptional French vineyards and get their own wine delivered straight to their door. ,1000000,EUR,1101082,Venture - Series Unknown,"56,952",1,https://www.linkedin.com/company/cuvee-privee/?originalSubdomain=fr,https://www.cuvee-privee.com/,"Aurélie Berthon, Marie Forget, Morgane Suquet",,-0.6,
Private,afi.to,https://www.crunchbase.com/organization/afi-to,"B2B, Communities, E-Commerce, Marketing, Mobile, PaaS","London, England, United Kingdom","Afi.to provides white-label solutions for client gamification, influence platform, affiliation platform, and online shopping club.",100000,USD,100000,Seed,"59,090",2,https://www.linkedin.com/company/afitosoftware/,https://afi.to,"Denis Kuchur, Szymon Bolczyk",,-0.1,Noorfund
Private,White Label Advisory,https://www.crunchbase.com/organization/white-label-advisory,"B2B, Consulting, Management Consulting, Procurement, Professional Services, Trading Platform","Hamburg, Hamburg, Germany",White Label Advisory is a B2B platform for procuring & billing of high-quality advisors.,500000,EUR,554535,Pre-Seed,"59,658",1,https://www.linkedin.com/company/whitelabeladvisory,https://www.whitelabeladvisory.de/,"Philipp Maier, Philipp Weber",,2.2,
Private,deephound,https://www.crunchbase.com/organization/deephound,"Artificial Intelligence, B2B, Big Data, Business Intelligence, InsurTech, Legal Tech","London, England, United Kingdom",The Augmented Intelligence Agency,35000,EUR,39266,Convertible Note,"59,698",2,https://www.linkedin.com/company/deephound,https://deephound.co,"Alessia Gianaroli, Marco Menichelli, Rosbeh Zakikhani",,6.6,
Private,Alyc,https://www.crunchbase.com/organization/alyc,"B2B, Commercial, Software","Tokyo, Tokyo, Japan","Alyc is focused on contextual, domain-specific, multi-modal voice systems.",3000000,USD,3000000,Debt Financing,"63,955",1,https://www.linkedin.com/company/alyc/,https://www.alyc.ai/,Fred Almeida,,7.7,
Private,Obviously AI,https://www.crunchbase.com/organization/obviously-ai,"Analytics, B2B, Business Intelligence, Machine Learning, SaaS","Berkeley, California, United States",We make predictive analytics tools for non-technical business analysts.,,,,Seed,"73,515",2,https://www.linkedin.com/company/obviously-ai,https://www.obviously.ai/,"Nirman Dave, Tapojit Debnath",,-0.9,"NVIDIA, Blume Ventures, Sequoia Capital India, Benhamou Global Ventures, Berkeley SkyDeck"
Private,MOLTEN,https://www.crunchbase.com/organization/molten,"B2B, Cloud Computing, Cloud Infrastructure, Cloud Storage, Digital Media, Intellectual Property, Internet, Marketplace, Media and Entertainment","Cambridge, Massachusetts, United States",Radically simplifying digital media operations globally,,,,Undisclosed,"83,331",2,https://www.linkedin.com/company/molten-inc,https://molten.co,,Less than $1M,3.3,"Steffen Naumann, Jack Dorsey, Valor Capital Group, Kevin Yorn"
Private,Buyfair Global,https://www.crunchbase.com/organization/buyfair-global,"B2B, E-Commerce, Marketplace","London, England, United Kingdom","The first B2B multi-lot, auction-based marketplace for overstock, sample and end-of-line product.",278850,GBP,358619,Equity Crowdfunding,"86,596",1,https://www.linkedin.com/company/19071222/admin/,https://buyfair.global,Dominic Speelman,,-0.5,Crowdcube
Private,"Tensor Tech CO., LTD.",https://www.crunchbase.com/organization/spherical-motion,B2B,"Taipei, T'ai-pei, Taiwan",Tensor Tech is a startup company that builds the world's tiniest satellite attitude control system with Spherical Motor Technology.,50000,USD,50000,Pre-Seed,"91,686",1,,http://sphericalmotion.com.tw/,,,0.1,
Private,Pristēm,https://www.crunchbase.com/organization/unwrinkly,"B2B, CleanTech, Consumer Electronics, E-Commerce, Fashion, Laundry and Dry-cleaning, Smart Home","New York, New York, United States",Reimagining laundry & dry cleaning services.,,,,Seed,"96,935",2,,https://www.getpristem.com,"Naren Inukoti, Rahul Sheth, Vishva Somaya",Less than $1M,1.6,"Alchemist Accelerator, Chris Sang, Monozukuri Ventures, Will Herman, Adam Sah"
Private,Present Works,https://www.crunchbase.com/organization/present-works,"Advertising, B2B, Marketing","Leeds, Leeds, United Kingdom",Present Works is a B2B digital marketing team that helps businesses find and engage their audiences.,100000,GBP,132045,Debt Financing,"97,475",1,,https://www.presentworks.co.uk/,,,0.7,NPIF - FW Capital Debt Finance
Private,Huangdou,https://www.crunchbase.com/organization/huangdou,"B2B, E-Commerce, Mobile","Beijing, Beijing, China",Huangdou is a B2B platform that integrates mobile phone manufacturers and suppliers to build a mobile phone e-commerce ecosystem.,70000000,CNY,9929218,Series A,"99,236",1,,http://www.ihdou.com/,,,4.1,Wonderland Investments
Private,Tjetak,https://www.crunchbase.com/organization/tjetak,"B2B, E-Commerce, Internet, Packaging Services","Jakarta Pusat, Jakarta Raya, Indonesia",Tjetak is a tech-based packaging platform helping businesses get the best packaging development & procurement.,,,,Series A,"99,523",3,https://www.linkedin.com/company/tjetak,https://www.tjetak.com/,"Anggara Pranaspati, Hasandi Patriawan, Raffisal Damanhuri",,0.6,
Private,Agrando,https://www.crunchbase.com/organization/agrando,"Agriculture, AgTech, B2B, Procurement","Munich, Bayern, Germany",Agrando is an agricultural B2B distribution platform.,,,,Seed,"100,715",1,https://www.linkedin.com/company/agrando,https://www.agrando.com,"Christian Schultz, Jonas Hueber, Jonathan Bernwieser, Moritz von Oertzen, Roger Schwarz",Less than $1M,0,"June Fund, Baltic Venture, JLR Star"
Private,Tocca,https://www.crunchbase.com/organization/tocca-e17a,"B2B, Event Management, Events, Internet, SaaS","San Francisco, California, United States",A virtual event solution focussed on demand generation for B2B companies that want to engage with prospects and customers.,,,,Pre-Seed,"107,442",2,https://www.linkedin.com/company/tocca-io/,https://tocca.io,"Stephane Paquet, Tommaso Trionfi",,1.6,Loyal VC
Private,Suridata.ai,https://www.crunchbase.com/organization/suridata-ai,"B2B, Big Data, Cyber Security, Information Technology, Machine Learning, Natural Language Processing, Privacy, Software","Tel Aviv, Tel Aviv, Israel",Suridata.ai specializes in helping organizations gain visibility and obtain control over their sensitive data,,,,Pre-Seed,"108,371",1,https://www.linkedin.com/company/suridataai,https://www.suridata.ai,,,1.1,
Private,Askation,https://www.crunchbase.com/organization/askation,"Artificial Intelligence, B2B, EdTech, Education, Information Technology, Internet, Software, Subscription Service","Bangalore, Karnataka, India",Askation is an AI-assisted grading system that assists teachers to correct student answer papers.,,,,Pre-Seed,"108,822",1,https://www.linkedin.com/company/askation,https://askation.co.in,,,4.9,
Private,Nonfig,https://www.crunchbase.com/organization/nonfig,"B2B, Software","Berlin, Berlin, Germany","Nonfig is ""Google Docs"" for Software Configurations",,,,Pre-Seed,"112,404",1,https://linkedin.com/company/nonfig,https://www.nonfig.com,"Hamza Waqas, Raj Kukreja",,9.1,
Private,Monadd,https://www.crunchbase.com/organization/monadd,"B2B, B2C, Software","London, England, United Kingdom",Update your address in one place and sync it accross your accounts,,,,Pre-Seed,"115,642",1,https://www.linkedin.com/company/19039284/admin/,https://www.monadd.io,"Jessica Mendoza, Yoni Svechinsky",,0.3,
Private,The Atlas,https://www.crunchbase.com/organization/the-atlas-marketplace-co,"B2B, Government, Internet, Private Social Networking, Software","San Diego, California, United States",The Atlas platform unlocks the $1.6T local government market...all without ever selling to cities.,,,,Pre-Seed,"115,950",1,https://www.linkedin.com/company/the-atlas-marketplace-co./,https://the-atlas.com/,"Elle Hempen, Ellory Monks, Shalini Vajjhala",,-0.2,500 Startups
Private,Klutch.ai,https://www.crunchbase.com/organization/klutch-ai,"B2B, Email, Productivity Tools, SaaS, Software","London, England, United Kingdom","SaaS solution for after-sales teams. Klutch puts critical client insights at your fingertips, saving time and boosting productivity.",,,,Pre-Seed,"118,591",1,https://www.linkedin.com/company/kluth-ai/?viewAsMember=true,https://www.klutch.ai,"Jonathan Riftin, Karim Gargum",,1.8,Antler
Private,CrediNord,https://www.crunchbase.com/organization/ltd,"B2B, Banking, Finance, Financial Services, FinTech","Helsinki, Southern Finland, Finland",Cloud Based SME & Micro-enterprise Lender,,,,Angel,"121,539",2,https://www.linkedin.com/company/credinord,https://www.credinord.com/,"Jan Forsbom, Jim Forsbom, Roope Lindroos",,3.1,
Private,Ninja Lender,https://www.crunchbase.com/organization/ninja-lender,"B2B, FinTech, Lending, Marketplace","Warsaw, Mazowieckie, Poland",Ninja Lender is a B2B marketplace for credit institutions to buy and sell rejected loans,,,,Seed,"125,890",2,https://www.linkedin.com/company/ninja-lender/,https://ninjalender.net,"Alexey Zinchenko, Dmitry Shurkayev, Valery Yurikov, Yaroslav Dubov, Yurii Fomin",,-0.6,Startup Wise Guys
Private,Singuli,https://www.crunchbase.com/organization/singuli,"Artificial Intelligence, B2B, Machine Learning, Retail Technology, SaaS","New York, New York, United States",Singuli is an optimization platform for modern retail for retailers who are hindered in managing merchandise-planning with spreadsheets.,,,,Pre-Seed,"131,693",1,https://www.linkedin.com/company/singuli/about/,https://singuli.co/,"Benjamin Kelly, Thierry Bertin-Mahieux",,-0.1,RevTech Ventures
Private,Inboarding,https://www.crunchbase.com/organization/inboarding,"Artificial Intelligence, B2B, Employee Benefits, Employment, Human Resources, Information Technology, SaaS, Software, Virtual Workforce","Dublin, Dublin, Ireland",A new way to create an inclusive workplace where everyone belongs,,,,Non-equity Assistance,"143,355",3,https://www.linkedin.com/company/inboarding,http://www.inboarding.co,"Fernanda Martins, Robson Mafra",,-0.1,"Huckletree Alpha Programme London, New Frontiers"
Private,coing (superC AI),https://www.crunchbase.com/organization/superco,"Artificial Intelligence, B2B, Brand Marketing, Communities, SaaS, Smart Cities, Software","Tel Aviv, Tel Aviv, Israel",co.ing is a white-label community engagement platform that provides economic and social values ​​combines the digital and physical world,,,,Pre-Seed,"149,372",1,https://www.linkedin.com/company/49129969,https://coing.co/,Adi Perry,,4.1,HIGHROAD
