Organization Name,Organization Name URL,Industries,Description,CB Rank (Company),LinkedIn,Website,Founders,Headquarters Location
Limmo,https://www.crunchbase.com/organization/limmo-05f6,"Internet, Real Estate",Limmo is to offer an alternative to traditional real estate search portals,"961,459",https://www.linkedin.com/company/limmo-co/,https://limmo.co/,,"Toulouse, Midi-Pyrenees, France"
VineOnBrick,https://www.crunchbase.com/organization/vineonbrick,"Building Material, Construction",VineOnBrick is a provider of a building industry platform.,"961,409",https://www.linkedin.com/company/vineonbrick.com/,,,"Santa Monica, California, United States"
Rubbish 2 Go,https://www.crunchbase.com/organization/rubbish-2-go,Service Industry,Rubbish 2 Go is the best clearance service provider.,"961,379",,http://www.rubbish2go.co.uk/,,"London, England, United Kingdom"
Beedi.es,https://www.crunchbase.com/organization/beedi-es,"Marketing, Social",Beedi.es is a savings portal where you can enjoy discounts on technical aids and services.,"961,194",https://www.linkedin.com/company/beedi/,https://www.beedi.es/,,"Terrassa, Catalonia, Spain"
Media-Wize,https://www.crunchbase.com/organization/media-wize,B2B,Media-Wize offers specialised media and PR services.,"961,083",https://www.linkedin.com/company/media-wize/,https://media-wize.com/,,"Melbourne, Victoria, Australia"
Sybil Software LTD.,https://www.crunchbase.com/organization/sybil-software-ltd,Education,Adaptive Careers Advices for Students,"961,053",,https://sybilapp.net/,,"Paisley, Renfrewshire, United Kingdom"
Roland Späht,https://www.crunchbase.com/organization/roland-späht,Information Technology,Company which provides Information and products about carp fishing.,"961,009",,https://www.karpfenfaenger.com,,"Salgen, Bayern, Germany"
Guava Creative,https://www.crunchbase.com/organization/guava-creative,Marketing,Guava Creative is an exciting new solution to corporate branding & marketing.,"960,989",,http://www.guava-creative.com/,,"London, England, United Kingdom"
Creative Method Collective,https://www.crunchbase.com/organization/creative-method-collective,"Communications Infrastructure, Delivery, Public Relations","Australian PR & Communications for entrepreneurs, creators and innovators","960,941",,https://creativemethod.com.au,Maya Rana,"Cremorne, New South Wales, Australia"
Buckeye Home Remodeling,https://www.crunchbase.com/organization/buckeye-home-remodeling,Home Improvement,Buckeye Home Remodeling will make your design and vision come to life.,"960,915",,http://www.buckeyehomeremodeling.com,,"Goodyear, Arizona, United States"
Project Open Education Inc,https://www.crunchbase.com/organization/project-open-education,"EdTech, Education, Non Profit",Project Open Education Inc. is a nonprofit supporting education.,"960,593",,http://sites.google.com/view/POEDU,Vijay Roy,"Madison, Wisconsin, United States"
They Want Any Car,https://www.crunchbase.com/organization/they-want-any-car,Automotive,Car Buying Sites Compared...,"960,523",,https://www.theywantanycar.co.uk/,,"Manchester, Manchester, United Kingdom"
Scattermouth,https://www.crunchbase.com/organization/scattermouth,"Messaging, Social Media",CLOSED,"960,518",,http://scattermouth.com/welcome,"Aleksandar Milic, Binal Shah, Shane Cormier","Houston, Texas, United States"
HESDM ( Hibba's European Single digital Marketplace),https://www.crunchbase.com/organization/hesdm,"E-Commerce, Shopping","HESDM is a European online platform connecting retailers to consumers. Sell with confidence, Buy with confidence from multi vendors","960,342",,https://www.hesdm.eu/,Anwar Malik,"Dublin, Dublin, Ireland"
RepSocial,https://www.crunchbase.com/organization/repsocial,"Marketing, Reputation",RepSocial is a digital brand management and online marketing company.,"960,307",https://www.linkedin.com/company/rep-social-online-marketing-and-brand-management/,http://www.repsocial.com.au/,,"Adamstown, New South Wales, Australia"
AppOnScreen,https://www.crunchbase.com/organization/apponscreen,"Apps, Sports",AppOnScreen is an application enabling spectators unique engagement experiences,"960,248",https://www.linkedin.com/company/11200550/,http://www.apponscreen.com/,,"Lisbon, Lisboa, Portugal"
The Block,https://www.crunchbase.com/organization/the-block-1108,"Bitcoin, Digital Media","The Block is the leading research, analysis and news brand in the digital asset space.","960,240",https://www.linkedin.com/company/theblockcrypto,https://www.theblockcrypto.com/,,"New York, New York, United States"
"RSF NH, L.P.",https://www.crunchbase.com/organization/rsf-nh-l-p,"Crowdfunding, Insurance",Private Investment Firm,"960,108",https://www.linkedin.com/company/rsf-nh-lp/,,Christopher Marconi,"Asheville, North Carolina, United States"
EOL Cleaning,https://www.crunchbase.com/organization/eol-cleaning,,"Benfleet Cleaning Company Built On 3 Guiding Principles: Reliability, Honesty and Hard Work.","960,051",,http://www.eolcleaning.co.uk,,"Benfleet, Essex, United Kingdom"
A&H Marketing,https://www.crunchbase.com/organization/a-h-marketing,"Enterprise Software, Hotel, Management Information Systems",A&H's lead software userguest has a specially designed algorithm to enable hotels to track information and lead to better conversion rate.,"960,032",https://www.linkedin.com/company/userguest/,http://userguest.com,,"Amsterdam, Noord-Holland, The Netherlands"
Radiantecenario,https://www.crunchbase.com/organization/radiantecenario,"Industrial, Renewable Energy, Solar","Radiantecenario focuses on the installation, assistance, and maintenance of multi-brand machines and equipment and solar systems.","959,977",,http://www.radiantecenario.com,,"Braga, Braga, Portugal"
SAC Workspace,https://www.crunchbase.com/organization/the-yard-shared-workspace,Coworking,"An affordable, well equipped office space for young startups in Mountain View, CA.  ","959,923",,https://liquidspace.com/us/ca/mountain-view/san-antonio-circle-workspace,Joel Thom,"Mountain View, California, United States"
RocketHires,https://www.crunchbase.com/organization/rockethires,"Human Resources, Information Technology, Small and Medium Businesses",Making it easier and more affordable for companies to connect directly with the best sales talent in London,"959,905",https://www.linkedin.com/company/rockethires,http://www.rockethires.co.uk/,,"London, England, United Kingdom"
Grates,https://www.crunchbase.com/organization/grates,,We're taking a new approach to ticket purchasing. Get a Group & Go!,"959,859",,http://grates.us,,"Los Angeles, California, United States"
Institute of IT Training,https://www.crunchbase.com/organization/institute-of-it-training,Training,Institute of IT Training provides Information Technology Programs training in class and online.,"959,836",,https://www.iofit.ca/,,"Calgary, Alberta, Canada"
Argella,https://www.crunchbase.com/organization/argella,Consulting,FinTech Advisory,"959,775",https://www.linkedin.com/company/argella,http://argella.co.uk/,Amar Rajani,"London, England, United Kingdom"
Aleix Lopez,https://www.crunchbase.com/organization/aleix-lopez,"E-Commerce, Fashion, Men's, Women's",Aleix Lopez is an e-commerce platform for women's and men's fashion apparel.,"959,732",,http://www.aleixlopez.com,,"Barcelona, Catalonia, Spain"
"Derby City Insurance, LLC",https://www.crunchbase.com/organization/derby-city-insurance-llc,Insurance,"Auto Insurance in Louisville, KY","959,603",,http://derbycityinsurance.com/,,"Louisville, Kentucky, United States"
South Haven Chevrolet Buick GMC,https://www.crunchbase.com/organization/south-haven-chevrolet,,"South Haven Chevrolet Buick GMC is located in South Haven, MI and is here to serve you with a full line of Buick, Chevrolet, GMC vehicles.","959,582",https://www.linkedin.com/company/south-haven-chevrolet-buick-gmc,http://southhavencbg.com,,"South Haven, Michigan, United States"
Wurcly,https://www.crunchbase.com/organization/wurcly,"Online Portals, Recruiting, Training","Wurcly is an online portal that helps employees and employers to connect, recruit, select and train along with payroll services.","959,507",https://www.linkedin.com/company/wurcly/,http://www.wurcly.com/en,,"Amsterdam, Noord-Holland, The Netherlands"
License to Cue,https://www.crunchbase.com/organization/license-to-cue,Music,We create and license music for Motion Picture and AV productions.,"959,350",,http://www.licensetocue.com,,"Tilburg, Noord-Brabant, The Netherlands"
MultiCultural Press,https://www.crunchbase.com/organization/multicultural-press,"Apps, Publishing",MultiCultural Press is a multicultural and bilingual story app for kids.,"959,323",https://www.linkedin.com/company/multicultural-press-inc/,http://multiculturalpress.com/,,"Davis, California, United States"
Gutterbug,https://www.crunchbase.com/organization/gutterbug,Information Technology,Gutterbug is operates in stealth mode.,"959,322",,,,"Allston, Massachusetts, United States"
Search Solihull Limited,https://www.crunchbase.com/organization/search-solihull-limited,"Advertising, Marketing, Web Design","Digital Marketing Services,SEO, Website design, PPC, Adwords","959,162",,https://www.searchsollihull.co.uk,,"Solihull, Solihull, United Kingdom"
Until Cars Fly,https://www.crunchbase.com/organization/until-cars-fly,"Information Services, Information Technology",UntilCarsFly is a mobile application and a server-side platform.,"958,975",https://www.linkedin.com/company/untilcarsfly/,https://www.untilcarsfly.com/,,"Bangor, Maine, United States"
GoKody,https://www.crunchbase.com/organization/gokody,Real Estate,GoKody provides self storage by letting renters select locations provided by local both residential and commercial hosts.,"958,904",,http://www.gokody.com,,"Charlotte, North Carolina, United States"
Made-in-spain,https://www.crunchbase.com/organization/made-in-spain,,Made-in-spain is the new global reference for high quality Spanish gastronomy.,"958,903",https://www.linkedin.com/company/made-in-spain-com/about/,https://made-in-spain.com/,,"Madrid, Madrid, Spain"
EYENOISE,https://www.crunchbase.com/organization/eyenoise,"E-Commerce, Fashion",EYENOISE is an eyewear marketplace connecting high-end eyewear retailers with shoppers.,"958,760",,,,"London, England, United Kingdom"
IINZ Solutions Limited,https://www.crunchbase.com/organization/iinz-solutions-limited,Information Technology,IT Services and Solutions,"958,720",,https://www.iinz.co.nz,,"Auckland, Auckland, New Zealand"
Stairlifts Swansea,https://www.crunchbase.com/organization/stairlifts-swansea,,Stairlifts Swansea has a broad range of new stairlifts available to suit your needs and cover all areas in Swansea.,"958,697",,http://www.stairlifts-swansea.co.uk,,"Swansea, New South Wales, Australia"
Restore Rentals LLC,https://www.crunchbase.com/organization/restore-rentals-lllc,"Hospitality, Real Estate, Tourism, Travel",Restore Rentals owns or manages unique places for travelers to stay during a vacations or business trip outside of traditional hotels.,"958,644",https://www.linkedin.com/company/16199385/,http://www.restorerentals.com,David Delpiano,"Atlanta, Georgia, United States"
TechCellar Inc.,https://www.crunchbase.com/organization/techcellar-inc,,Innovators for the daily human experiences,"958,620",,,Can Tuncer,"Durham, North Carolina, United States"
Zippilli Technology Consulting,https://www.crunchbase.com/organization/zippilli-technology-consulting,"Consulting, Information Technology",Zippilli Technology Consulting,"958,515",,,,"Rockville, Maryland, United States"
GUUZZ,https://www.crunchbase.com/organization/guuzz,"Apps, E-Commerce, Mobile Apps",Outlet in your pocket,"958,456",,,Michele Ficara Manganelli,"Lugano, Ticino, Switzerland"
Vocalens,https://www.crunchbase.com/organization/vocalens,"Consumer Goods, Wearables",Vocalens transforming the lives of people with visual impairment through wearable technologies.,"958,415",https://www.linkedin.com/company/vocalens-limited/,http://vocalens.uk/,,"Cambridge, Massachusetts, United States"
Zwembadselect,https://www.crunchbase.com/organization/zwembadselect,"Leisure, Lifestyle",Zwembadselect is a provider of a suitable pool for everyone from inflatable pools to Intex pools.,"958,412",,https://www.zwembadselect.nl/,,"Huizen, Noord-Holland, The Netherlands"
Origin Films,https://www.crunchbase.com/organization/origin-films,"Film, Wedding","Origin Films is a production company for video & photography including directors, camera operators, storyboarding, etc.","958,206",,http://www.originfilms.ca,,"Toronto, Ontario, Canada"
MYALGOTRADE,https://www.crunchbase.com/organization/myalgotrade,Software,TRADING SOFTWARE,"957,993",,https://myalgotrade.com/,,"London, England, United Kingdom"
allyoutuber.com,https://www.crunchbase.com/organization/allyoutuber-com,,all you need to know about youtube.,"957,939",,http://www.allyoutuber.com/,Onur Ünlütürk,"Ankara, Ankara, Turkey"
Blaph,https://www.crunchbase.com/organization/blaph,"Advertising, Communities, Digital Marketing, Digital Media",Marketing & Advertising,"957,888",,http://www.blaph.com,James Farndale,"London, England, United Kingdom"
Pointwall,https://www.crunchbase.com/organization/pointwall,"Internet, Travel","Pointwall is a visual discovery service for travellers to instantly match, organise, share.","957,793",https://www.linkedin.com/company/18213307/,http://www.pointwall.eu,,"Esch-sur-alzette, Luxembourg, Luxembourg"
VERSE Stories,https://www.crunchbase.com/organization/verse-stories,"Delivery, News",VERSE Stories is on a mission to tell the stories of the people effected by the news,"957,742",https://www.linkedin.com/company/verse-stories/,,,"London, England, United Kingdom"
Knowingly Holdings,https://www.crunchbase.com/organization/knowingly-holdings,Internet,Knowingly Holdings is providing Internet publishing services.,"957,595",,,,"Austin, Texas, United States"
bacasable.co,https://www.crunchbase.com/organization/bacasable-co,Information Technology,"Bacasable is a marketplace for POCs of different technologies, saving you installation and configuration time and also computing resources","957,434",,http://www.bacasable.co,,"Dallas, Texas, United States"
SARAJEVO CAMP BY TENT,https://www.crunchbase.com/organization/sarajevo-camp-by-tent,Tourism,International Campsite based in Sarajevo Bosnia and Herzegovina,"957,261",,https://campinginsarajevo.wordpress.com/,,"Sarajevo, Federation of Bosnia and Herzegovina, Bosnia and Herzegovina"
NovaDeck,https://www.crunchbase.com/organization/novadeck,Internet,Description Pending (Startup Battlefield Applicant),"957,242",,http://novadeckapp.com,,"Vancouver, British Columbia, Canada"
Hobby Media Group,https://www.crunchbase.com/organization/hobby-media-group,"Marketing, Media and Entertainment",Hobby Media Group is a fun and creative Marketing and Media Agency,"957,175",,http://hobbymediagroup.com/,,"Oxford, Oxfordshire, United Kingdom"
COMPOCLAIMS.CO.UK,https://www.crunchbase.com/organization/compoclaims-co-uk,"Financial Services, FinTech",Compensation Claims Specialists,"957,136",https://www.linkedin.com/company/compoclaimsuk,http://compoclaims.co.uk,,"Huddersfield, Kirklees, United Kingdom"
PlattrrBox,https://www.crunchbase.com/organization/plattrrbox,,PaaS,"957,063",,,,"Guelph, Ontario, Canada"
Winelabel,https://www.crunchbase.com/organization/winelabel,"Mobile Apps, Video, Wine And Spirits","Winelabel is a free app to discover all the wine secrets, a multimedia experience, with only a picture of the label.","956,936",https://www.linkedin.com/company/winelabel-app/,http://www.winelabelapp.com,,"Leganés, Madrid, Spain"
Velium SEO,https://www.crunchbase.com/organization/velium-seo,,UK based search engine optimization,"956,899",https://www.linkedin.com/company/velium-seo,https://veliumseo.co.uk/,,"London, England, United Kingdom"
Generous Solutions LLC,https://www.crunchbase.com/organization/generous-solutions-llc,"Energy, Solar",Sun Power Solar Source provides a wide selection of solar powered products,"956,882",,http://www.sunpowersolarsource.com/,,"Winlock, Washington, United States"
AgreeableApp,https://www.crunchbase.com/organization/agreeableapp,"Apps, Customer Service",AgreeableApp is a provider of an application for assisting to sell products.,"956,827",https://www.linkedin.com/company/agreeable-the-agreeable-company-llc-/,,,"Kansas City, Missouri, United States"
Vlogosphere,https://www.crunchbase.com/organization/vlogosphere,"Social Media, Video",The first ever dedicated vlogging platform.,"956,773",,,Afraz Siddiqui,"New York, New York, United States"
Naples Concierge Services LLC,https://www.crunchbase.com/organization/naples-concierge-services-llc,Home Services,Naples Providing Concierge Services With Passionate Team From Florida. We are keen in the concierge services industry.,"956,652",,http://www.naplesconciergeservices.co/,,"Naples, Florida, United States"
HowToFile TV,https://www.crunchbase.com/organization/howtofile-tv,"Consulting, Education, Legal, Legal Tech, Video",HowToFile TV encourages people to seek legal counsel and understand the process.,"956,600",,,,"Fairfax, Virginia, United States"
HUB Turku ry.,https://www.crunchbase.com/organization/hub-turku-ry,Coworking,"HUB Turku is a coworking and makerspacde in the centre of Turku, Finland.","956,573",https://www.linkedin.com/company/hub-turku/,https://hubturku.com,Peter Fagerström,"Turku, Western Finland, Finland"
Drivinapp,https://www.crunchbase.com/organization/drivinapp,"Apps, Automotive, Information Technology",Drivinapp is a platform that offers a digital solution for driving schools.,"956,545",https://www.linkedin.com/company/drivin-app/,,"Alvaro Muhlethaler, Sergi Espada","Barcelona, Catalonia, Spain"
Nantic EcoSaneamiento,https://www.crunchbase.com/organization/nantic-ecosaneamiento,"Recycling, Waste Management","Nantic EcoSaneamiento provides ecological toilets for events, individuals and trips.","956,518",,https://nantic-es.webnode.es,,"Cáceres, Extremadura, Spain"
Teamone startup,https://www.crunchbase.com/organization/teamone-startup,Social Network,Teamone startup is a Social networking website encompassing many other networks with multi functionality for users,"956,218",,,,"London, England, United Kingdom"
Elite Corrosion,https://www.crunchbase.com/organization/elite-corrosion,"Information Technology, Telecommunications",Technical Corrosion Service Provider,"956,142",https://www.linkedin.com/company/elitecorrosion/,http://www.elitecorrosion.com,"Brandon Wright, Justin Thatcher","College Station, Texas, United States"
WireFame,https://www.crunchbase.com/organization/wirefame,"Architecture, Construction, Software",WireFame is a platform for targeting the process optimization of the architectural visualization segment based on  impact-choice.,"956,118",,https://www.wirefame.org/,,"Brasov, Brasov, Romania"
Focus Pro,https://www.crunchbase.com/organization/focus-pro,"Consulting, Marketing, Publishing",Focus Pro is a publisher of newspapers for the graphic industry and renders marketing services with the consultation.,"955,934",,http://www.focuspro.sk/,,"Bratislava, Bratislava, Slovakia (Slovak Republic)"
Arda Viraf Tech,https://www.crunchbase.com/organization/arda-viraf-tech,Information Technology,Arda Viraf Tech is working on technologies related to transportation and IoT,"955,906",,http://ardaviraf.tech,Mohsen Falahi,"Geneva, Geneve, Switzerland"
SeaDogg Inc.,https://www.crunchbase.com/organization/seadogg-inc,,Internet company,"955,766",https://www.linkedin.com/company/18391174/,http://www.seadogg.inc,,"Santa Clara, California, United States"
Tech Italy Advocates,https://www.crunchbase.com/organization/tech-italy-advocates,"Communities, Information Technology, Internet","Tech Italy Advocates is a group of entrepreneurs, corporates and investors connected to the tech sector.","955,755",https://www.linkedin.com/company/techitalyadvocates/,http://www.techlondonadvocates.org.uk,Enrico Noseda,"Milano, Lombardia, Italy"
UReferred,https://www.crunchbase.com/organization/ureferred,"Human Resources, Internet, Software, Staffing Agency",Referral Hiring Platform,"955,617",,,,"Sydney, New South Wales, Australia"
Ivy Medical,https://www.crunchbase.com/organization/ivy-medical,"Health Care, Hospital",Ivy Medical is a revolutionising infusion therapy as well as offers IV pole and IV wear products.,"955,512",https://www.linkedin.com/company/ivy-medical/,http://www.ivwear.nl/,,"Groningen, Groningen, The Netherlands"
Wepolly,https://www.crunchbase.com/organization/wepolly,,WEPOLLY est le réseau social qui propose de partager ses points de vue et de connaître l’opinion du public de façon ludique et anonyme.,"955,496",,https://play.google.com/store/apps/details?id=com.wepolly.app.android,,"Toulouse, Midi-Pyrenees, France"
Sales Gladiators,https://www.crunchbase.com/organization/sales-gladiators,,A sales company,"955,486",https://www.linkedin.com/company/salesgladiators/,,Stephane Maes,"Antwerp, Antwerpen, Belgium"
Pixel D - Marketing & Webdesign,https://www.crunchbase.com/organization/pixel-d-marketing-webdesign,"Marketing, Tourism, Web Design",Marketing Agency,"955,363",,https://www.pixel-d.de,Dennis Christian Prusik,"Weinstadt-endersbach, Baden-Wurttemberg, Germany"
V.R.Native,https://www.crunchbase.com/organization/v-r-native,"Advertising, Event Promotion, SEO","Publishare is an advertising agency that provides SEO, PR, promotion, and marketing services.","955,183",https://www.linkedin.com/company/publishare-info,http://vr-native.pro,,"Kyiv, Kyyiv, Ukraine"
Nobï INC.,https://www.crunchbase.com/organization/nobï-inc,Information Technology,Nobï is a tech company revolutionizing in the betterment of elevated frequency promotion.,"954,937",,,Keith D. Rivers Jr.,"Atlanta, Georgia, United States"
Retreat at Prairie Creek,https://www.crunchbase.com/organization/retreat-at-prairie-creek,Residential,It operates a residential property.,"954,798",,,Stewart Wangard,"Milwaukee, Wisconsin, United States"
Ben Dankiw PPC Consultant,https://www.crunchbase.com/organization/ben-dankiw-ppc-consultant,Advertising,"Ben Dankiw - Professional PPC, Adwords and paid media consultant.","954,746",,http://consulting.nav43.com/en-us/tx/austin/ppc/,,"Austin, Texas, United States"
Plastiserve,https://www.crunchbase.com/organization/plastiserve,"Manufacturing, Plastics and Rubber Manufacturing, Wholesale",Plastiserve Ltd is a completely independent wholesaler and distributor.,"954,469",https://www.linkedin.com/company/plastiserve-limited,http://plastiserve.com,,"Leeds, Leeds, United Kingdom"
Ukrainian Logistics Cluster,https://www.crunchbase.com/organization/ukrainian-logistics-cluster,"Logistics, Professional Networking, Professional Services",ULC is a group of organization that aims at improving logistics quality with networking and level of professionalism.,"954,336",,http://ulc-health.com,,"Kyiv, Kyyiv, Ukraine"
Pharmadis,https://www.crunchbase.com/organization/pharmadis,"Logistics, Marketing, Warehousing","Pharmadis focuses to offer services like logistics, marketing, legislation and distribution.","954,289",,http://www.pharmadis.sk,,"Piestany, Trnava, Slovakia (Slovak Republic)"
Treps Digital,https://www.crunchbase.com/organization/treps-digital,"Advertising, Business Development, Consulting, CRM, Digital Marketing, Marketing, Web Design",Our mission is to help new and growth stage entrepreneurs build a strong digital marketing foundation for their business.,"954,141",https://www.linkedin.com/company/treps-nest,http://www.trepsdigital.com,Wilbert Fobbs III,"Birmingham, Michigan, United States"
Josephine's,https://www.crunchbase.com/organization/josephine-s,"Delivery Service, E-Commerce, Flowers",Josephine's specializes in all different varieties and sizes of flowers for commercial as well as private use.,"953,975",,http://www.josephinethomas.be,,"Hasselt, Limburg, Belgium"
eguru,https://www.crunchbase.com/organization/eguru-2,Delivery Service,eguru is an on demand platform which is revolutionising the peer-to-peer last mile parcel delivery using a crowdsourced pool of drivers.,"953,945",https://www.linkedin.com/company/eguru-delivery-service,http://eguru.pt/,,"Oeiras, Lisboa, Portugal"
Montaseo,https://www.crunchbase.com/organization/montaseo,SEO,Search Engine optimization agency specialized in local and international seo,"953,939",,https://www.montaseo.nl/,,"Deventer, Overijssel, The Netherlands"
Motiv Industries,https://www.crunchbase.com/organization/motiv-industries,"Consumer Electronics, Marketing",Motiv Industries is an importer of fast moving consumer goods.,"953,929",https://www.linkedin.com/company/motiv-industries-ltd/,https://motiv.co.nz/,,"Auckland, Auckland, New Zealand"
DHD Wealth Management,https://www.crunchbase.com/organization/dhd-wealth-management,"Advice, Financial Services, Professional Services",DHD Wealth Management is a firm of independent financial advisers.,"953,862",,http://www.daviesheulyndavies.co.uk,,"Aberystwyth, Ceredigion, United Kingdom"
Amari-Ace,https://www.crunchbase.com/organization/amari-ace,"Fashion, Jewelry","Amari-Ace is so passionate about fashion and jewellery, hence, why our products have been carefully hand-picked for the latest trendsetters.","953,830",,https://amariace.com/,,"London, England, United Kingdom"
Bury Outsourcing,https://www.crunchbase.com/organization/bury-outsourcing,"Business Intelligence, Consulting, Information Technology, Market Research, Marketing",We provide innovative solutions for organizations to support the internal workforce development,"953,624",,http://www.buryoutsourcing.co.uk,Noumaan Hussain,"Manchester, Manchester, United Kingdom"
Tradezam,https://www.crunchbase.com/organization/tradezam,"Big Data, E-Commerce","""Shazam for trading"", which recognizes market signals, purifies them and informs the trader on the most appropriate moment to buy or sell","953,461",https://www.linkedin.com/company/18417488/,http://tradezam.com/,,"London, England, United Kingdom"
NeuNomad,https://www.crunchbase.com/organization/neunomad,Sharing Economy,"A place for the mobile generation to list & leverage their unused work spaces. Look for, find, book & pay for short-term work & meet spaces.","953,428",,https://www.neunomad.com,CJ Joubert,"St. Peter Port, NA - Guernsey, Guernsey"
BTHC X,https://www.crunchbase.com/organization/bthc-x,Software,BTHC X is an operates as an independent software vendor.,"953,384",,,,"Sentinel, Oklahoma, United States"
Envemio,https://www.crunchbase.com/organization/envemio,Information Technology,Company Envemio provides smart Ethernet Solutions to IT industry.,"953,374",,http://envemio.com/,,"Laguna Niguel, California, United States"
Willimbu,https://www.crunchbase.com/organization/willimbu,"Software, Web Development",Willimbu develops customized web management software for companies.,"953,283",https://www.linkedin.com/company/willimbu/,https://willimbu.com/,,"Málaga, Andalucia, Spain"
Johnnys Tires Shop,https://www.crunchbase.com/organization/johnnys-tires-shop,Automotive,"Tire Shop in Glendale, AZ","953,151",,http://johnnystireshop.com,,"Glendale, Arizona, United States"
Sales in Balance,https://www.crunchbase.com/organization/sales-in-balance,"Consulting, Management Consulting, Sales",SalesinBalance is a management consultancy that offers services regarding sales audit and sales management.,"953,123",https://www.linkedin.com/company/salesinbalance.com/about/,http://www.salesinbalance.be,,"Grimbergen, Vlaams-Brabant, Belgium"
Meanwhile,https://www.crunchbase.com/organization/meanwhile-b24c,Media and Entertainment,video curator with reaction,"953,036",,,"Driss Hamiani, Omid Fazel","London, England, United Kingdom"
BlackTree Advisory,https://www.crunchbase.com/organization/blacktree-advisory,Management Consulting,Strategic Advisory Services,"952,861",https://www.linkedin.com/company/18375172/,https://www.blacktreeadvisory.com,"Paolo Malerba, Paolo Malerba","London, England, United Kingdom"
Weller Financial Resources,https://www.crunchbase.com/organization/weller-financial-resources,"Banking, Consulting, Financial Services",Life Insurance,"952,755",,,,"Fayetteville, North Carolina, United States"
Guiree,https://www.crunchbase.com/organization/guiree,"Tour Operator, Tourism, Travel",Guiree is a market place to connect local tour guides to tourists who are looking for a unique and customized experience in a city,"952,638",,,,"London, England, United Kingdom"
"Pauca, Inc.",https://www.crunchbase.com/organization/pauca-inc,"Information Technology, Software",Software engineering startup with a social media focus.,"952,607",https://www.linkedin.com/in/faris-sbahi,http://pauca.io/home/,,"Durham, North Carolina, United States"
Irrigation Doc's LLC,https://www.crunchbase.com/organization/irrigation-doc-s-llc,Landscaping,"Sprinkler Repair in Macclenny, FL","952,347",,http://irrigationdocsfl.com,,"Macclenny, Florida, United States"
Fitnamix,https://www.crunchbase.com/organization/fitnamix,"Fitness, Health Care, Information Technology",Fitness technology company creating innovative solutions for member engagement,"952,279",,https://fitnamix.com,,"Washington, District of Columbia, United States"
Enigmobile,https://www.crunchbase.com/organization/enigmobile,"Computer, Lifestyle, Software",Enigmobile is the best software to create mobile applications for events and festivals.,"952,158",https://www.linkedin.com/company/enigmobile,https://www.enigmobile.com/,,"L'eliana, Comunidad Valenciana, Spain"
Orexa,https://www.crunchbase.com/organization/orexa,"Food and Beverage, Medical, Pharmaceutical",Orexa develops proprietary and pharmaceutical products for the treatment of diseases and medical problems related to human food intake.,"951,972",https://www.linkedin.com/company/orexa-b-v,https://www.orexa.info/,,"Oss, Noord-Brabant, The Netherlands"
Ivory Web Studio,https://www.crunchbase.com/organization/ivory-web-studio,"Marketing, Web Design, Web Development","Ivory Web Studio is a web production company that specializes in celebrity and influencer branding, web design, and marketing.","951,924",https://www.linkedin.com/company/ivorywebstudio/about/,https://ivorywebstudio.com/,,"Khmelnytskyy, Khmel'nyts'ka Oblast', Ukraine"
Tiendo.io,https://www.crunchbase.com/organization/tiendo-io,"E-Commerce, Information Technology, Internet","Cloud-based e-commerce platform, to have Web and App with no coding for small and medium-sized businesses.","951,867",,,,"Manhattan, New York, United States"
Prairie Provident Resources,https://www.crunchbase.com/organization/prairie-provident-resources,Oil and Gas,Prairie Provident Resources Inc is a firm that deals with the exploration & development of oil & natural gas with conventional operations.,"951,846",,https://www.ppr.ca/,,"Calgary, Alberta, Canada"
See Intelligence,https://www.crunchbase.com/organization/see-intelligence,"Consulting, Information Technology, Legal","See Intelligence is lead generation, consultancy and business services.","951,691",https://www.linkedin.com/company-beta/11080144/,http://seeintelligence.com/,,"London, England, United Kingdom"
Rouge Beauty,https://www.crunchbase.com/organization/rouge-beauty,"Apps, Beauty",Rouge Beauty is an app that provides on-demand beauty service and delivers makeup artists.,"951,672",https://www.linkedin.com/company/rouge-beauty-app,https://www.rougebeautyapp.com/,,"Melbourne, Victoria, Australia"
Grand Auto Sales,https://www.crunchbase.com/organization/grand-auto-sales,Automotive,"Used Car Dealership in Grand Island, NE","951,633",,http://grandauto.net,,"Grand Island, Nebraska, United States"
PotCircles,https://www.crunchbase.com/organization/potcircles,Business Information Systems,PotCircles is a Operator of a cannabis social network that allows users to learn and share their lifestyles company.,"951,460",,http://www.potcircles.com/,,"Memphis, Tennessee, United States"
Moon Grove Farm,https://www.crunchbase.com/organization/moon-grove-farm,,Small-scale ag,"951,443",,,Jen Quinlan,"Mahomet, Illinois, United States"
Fullquadri,https://www.crunchbase.com/organization/fullquadri,"Advertising, Graphic Design, Printing","Fullquadri gives customized graphics, illustration, printing and web solutions.","951,359",,http://www.fullquadri.com,,"Grâce-berleur, Liege, Belgium"
MediaProQuo,https://www.crunchbase.com/organization/mediaproquo,Media and Entertainment,"MediaProQuo helps creatives in the entertainment, arts and media field find new ways to earn money.","951,291",,http://www.mediaproquo.com/,,"London, England, United Kingdom"
blabala,https://www.crunchbase.com/organization/quorum-6,,l cj CZL,"951,205",,,,"Bordeaux, Aquitaine, France"
PowerLift,https://www.crunchbase.com/organization/powerlift,"Apps, Fitness, Mobile, Software, Wellness",PowerLift is an app that measures the velocity of a barbell.,"951,122",,,Carlos Balsalobre-Fernández,"Madrid, Madrid, Spain"
